sample_name,species,temp,rep,date,day,raw_abs_entry,abs,nitrate
TT164,TT,16,4,18-Aug-16,9,26,0.026,
BB164,BB,16,4,18-Aug-16,9,33,0.033,
CH254,CH,25,4,18-Aug-16,9,15,0.015,
TT254,TT,25,4,18-Aug-16,9,20,0.02,
BB254,BB,25,4,18-Aug-16,9,35,0.035,
CH165,CH,16,5,18-Aug-16,9,27,0.027,
TT165,TT,16,5,18-Aug-16,9,18,0.018,
BB165,BB,16,5,18-Aug-16,9,20,0.02,
CH255,CH,25,5,18-Aug-16,9,32,0.032,
TT255,TT,25,5,18-Aug-16,9,21,0.021,
BB255,BB,25,5,18-Aug-16,9,41,0.041,
CONT16,CONT,16,1,18-Aug-16,9,185,0.185,
CONT25,CONT,25,1,18-Aug-16,9,182,0.182,
ST10,Standard,NA,NA,18-Aug-16,9,75,0.075,10
ST5,Standard,NA,NA,18-Aug-16,9,46,0.046,5
ST2.5,Standard,NA,NA,18-Aug-16,9,33,0.033,2.5
ST1,Standard,NA,NA,18-Aug-16,9,14,0.014,1
MEDA13,Medium,NA,NA,18-Aug-16,9,163,0.163,
CH161,CH,16,1,25-Aug-16,16,26,0.026,
TT161,TT,16,1,25-Aug-16,16,30,0.03,
BB161,BB,16,1,25-Aug-16,16,17,0.017,
CH251,CH,25,1,25-Aug-16,16,33,0.033,
TT251,TT,25,1,25-Aug-16,16,34,0.034,
BB251,BB,25,1,25-Aug-16,16,48,0.048,
CH162,CH,16,2,25-Aug-16,16,35,0.035,
TT162,TT,16,2,25-Aug-16,16,27,0.027,
BB162,BB,16,2,25-Aug-16,16,15,0.015,
CH252,CH,25,2,25-Aug-16,16,15,0.015,
TT252,TT,25,2,25-Aug-16,16,18,0.018,
BB252,BB,25,2,25-Aug-16,16,23,0.023,
CH163,CH,16,3,25-Aug-16,16,19,0.019,
TT163,TT,16,3,25-Aug-16,16,28,0.028,
BB163,BB,16,3,25-Aug-16,16,22,0.022,
CH253,CH,25,3,25-Aug-16,16,15,0.015,
TT253,TT,25,3,25-Aug-16,16,26,0.026,
BB253,BB,25,3,25-Aug-16,16,26,0.026,
CH164,CH,16,4,25-Aug-16,16,20,0.02,
TT164,TT,16,4,25-Aug-16,16,17,0.017,
BB164,BB,16,4,25-Aug-16,16,16,0.016,
CH254,CH,25,4,25-Aug-16,16,28,0.028,
TT254,TT,25,4,25-Aug-16,16,28,0.028,
BB254,BB,25,4,25-Aug-16,16,26,0.026,
CH165,CH,16,5,25-Aug-16,16,24,0.024,
TT165,TT,16,5,25-Aug-16,16,19,0.019,
BB165,BB,16,5,25-Aug-16,16,23,0.023,
CH255,CH,25,5,25-Aug-16,16,22,0.022,
TT255,TT,25,5,25-Aug-16,16,26,0.026,
BB255,BB,25,5,25-Aug-16,16,23,0.023,
CONT16,CONT,16,1,25-Aug-16,16,199,0.199,
CONT25,CONT,25,1,25-Aug-16,16,207,0.207,
ST1,Standard,NA,NA,25-Aug-16,16,16,0.016,1
ST5,Standard,NA,NA,25-Aug-16,16,34,0.034,5
ST10,Standard,NA,NA,25-Aug-16,16,79,0.079,10
CH161,CH,16,1,01-Sep-16,23,13,0.013,
TT161,TT,16,1,01-Sep-16,23,25,0.025,
BB161,BB,16,1,01-Sep-16,23,14,0.014,
CH251,CH,25,1,01-Sep-16,23,15,0.015,
TT251,TT,25,1,01-Sep-16,23,17,0.017,
BB251,BB,25,1,01-Sep-16,23,11,0.011,
CH162,CH,16,2,01-Sep-16,23,25,0.025,
TT162,TT,16,2,01-Sep-16,23,102,0.102,
BB162,BB,16,2,01-Sep-16,23,32,0.032,
CH252,CH,25,2,01-Sep-16,23,199,0.199,
TT252,TT,25,2,01-Sep-16,23,83,0.083,
BB252,BB,25,2,01-Sep-16,23,174,0.174,
CH163,CH,16,3,01-Sep-16,23,107,0.107,
TT163,TT,16,3,01-Sep-16,23,107,0.107,
BB163,BB,16,3,01-Sep-16,23,40,0.04,
CH253,CH,25,3,01-Sep-16,23,22,0.022,
TT253,TT,25,3,01-Sep-16,23,29,0.029,
BB253,BB,25,3,01-Sep-16,23,25,0.025,
CH164,CH,16,4,01-Sep-16,23,17,0.017,
TT164,TT,16,4,01-Sep-16,23,63,0.063,
BB164,BB,16,4,01-Sep-16,23,24,0.024,
CH254,CH,25,4,01-Sep-16,23,18,0.018,
TT254,TT,25,4,01-Sep-16,23,16,0.016,
BB254,BB,25,4,01-Sep-16,23,14,0.014,
CH165,CH,16,5,01-Sep-16,23,18,0.018,
TT165,TT,16,5,01-Sep-16,23,29,0.029,
BB165,BB,16,5,01-Sep-16,23,24,0.024,
CH255,CH,25,5,01-Sep-16,23,15,0.015,
TT255,TT,25,5,01-Sep-16,23,28,0.028,
BB255,BB,25,5,01-Sep-16,23,16,0.016,
CONT16,CONT,16,1,01-Sep-16,23,137,0.137,
CONT25,CONT,25,1,01-Sep-16,23,21,0.021,
ST1,Standard,NA,NA,01-Sep-16,23,176,0.176,1
ST10,Standard,NA,NA,01-Sep-16,23,6,0.006,10
ST20,Standard,NA,NA,01-Sep-16,23,48,0.048,20
MEDA26,Medium,NA,NA,01-Sep-16,23,112,0.112,
CH161,CH,16,1,07-Sep-16,29,34,0.034,
TT161,TT,16,1,07-Sep-16,29,41,0.041,
BB161,BB,16,1,07-Sep-16,29,88,0.088,
CH251,CH,25,1,07-Sep-16,29,143,0.143,
TT251,TT,25,1,07-Sep-16,29,102,0.102,
BB251,BB,25,1,07-Sep-16,29,24,0.024,
CH162,CH,16,2,07-Sep-16,29,53,0.053,
TT162,TT,16,2,07-Sep-16,29,20,0.02,
BB162,BB,16,2,07-Sep-16,29,9,0.009,
CH252,CH,25,2,07-Sep-16,29,35,0.035,
TT252,TT,25,2,07-Sep-16,29,36,0.036,
BB252,BB,25,2,07-Sep-16,29,48,0.048,
CH163,CH,16,3,07-Sep-16,29,40,0.04,
TT163,TT,16,3,07-Sep-16,29,33,0.033,
BB163,BB,16,3,07-Sep-16,29,21,0.021,
CH253,CH,25,3,07-Sep-16,29,16,0.016,
TT253,TT,25,3,07-Sep-16,29,42,0.042,
BB253,BB,25,3,07-Sep-16,29,17,0.017,
CH164,CH,16,4,07-Sep-16,29,54,0.054,
TT164,TT,16,4,07-Sep-16,29,35,0.035,
BB164,BB,16,4,07-Sep-16,29,10,0.01,
CH254,CH,25,4,07-Sep-16,29,33,0.033,
TT254,TT,25,4,07-Sep-16,29,34,0.034,
BB254,BB,25,4,07-Sep-16,29,33,0.033,
CH165,CH,16,5,07-Sep-16,29,31,0.031,
TT165,TT,16,5,07-Sep-16,29,31,0.031,
BB165,BB,16,5,07-Sep-16,29,30,0.03,
CH255,CH,25,5,07-Sep-16,29,36,0.036,
TT255,TT,25,5,07-Sep-16,29,38,0.038,
BB255,BB,25,5,07-Sep-16,29,40,0.04,
CONT16,CONT,16,1,07-Sep-16,29,15,0.015,
CONT25,CONT,25,1,07-Sep-16,29,35,0.035,
MED,Medium,NA,NA,07-Sep-16,29,168,0.168,
ST1,Standard,NA,NA,07-Sep-16,29,20,0.02,1
ST10,Standard,NA,NA,07-Sep-16,29,76,0.076,10
ST20,Standard,NA,NA,07-Sep-16,29,118,0.118,20
