a,Temperature,N.Treatment,run,Species
1.0816912102722378,13,0,93,CS
1.0533601212649955,13,0,94,CS
1.1768218070872363,13,0,95,CS
1.0533601212649955,13,0,96,CS
1.1768218068165748,13,0,97,CS
1.0533601212534618,13,0,98,CS
1.053360121277648,13,0,99,CS
1.176821807087236,13,0,100,CS
1.2618407641693086,13,11,1,CS
1.261239394557209,13,11,2,CS
1.560292824939541,13,11,3,CS
1.560292824939541,13,11,4,CS
1.2618407641693086,13,11,5,CS
1.2622035139658108,13,11,6,CS
1.261239394557209,13,11,7,CS
1.1856190435303797,13,11,8,CS
1.2612393947549916,13,11,9,CS
1.5602928250369912,13,11,10,CS
1.2618407638377611,13,11,11,CS
1.2612393947549916,13,11,12,CS
1.2622035139658108,13,11,13,CS
1.1856190435393985,13,11,14,CS
1.5602928250369912,13,11,15,CS
1.2612393947549916,13,11,16,CS
1.2618407642621448,13,11,17,CS
1.1856190435393985,13,11,18,CS
1.560292824939541,13,11,19,CS
1.2618407638377611,13,11,20,CS
1.1856190435393985,13,11,21,CS
1.560292825009446,13,11,22,CS
1.2622035139658108,13,11,23,CS
1.2612393947549916,13,11,24,CS
1.1856190435393985,13,11,25,CS
1.2622035140043537,13,11,26,CS
1.1856190435393985,13,11,27,CS
1.5602928250095196,13,11,28,CS
1.2612393948931397,13,11,29,CS
1.1856190435393985,13,11,30,CS
1.2622035140043537,13,11,31,CS
1.1856190435303797,13,11,32,CS
1.1856190435393985,13,11,33,CS
1.2612393947549916,13,11,34,CS
1.2622035139658108,13,11,35,CS
1.2618407641693086,13,11,36,CS
1.560292824939541,13,11,37,CS
1.2622035140043537,13,11,38,CS
1.2618407642621448,13,11,39,CS
1.1856190435393985,13,11,40,CS
1.2622035140043537,13,11,41,CS
1.1856190435393985,13,11,42,CS
1.2622035139658108,13,11,43,CS
1.2618407638377611,13,11,44,CS
1.5602928250369912,13,11,45,CS
1.1856190435393985,13,11,46,CS
1.1856190435393985,13,11,47,CS
