Temperature,run,term,estimate,std.error,statistic,p.value
13,30,umax,0.036592232754493435,0.0015148983327729797,24.154909912345314,2.266389464274094e-6
13,31,ks,0,1.0499555077924903,0,1
13,31,umax,0.03639761176380391,0.0015615757570899046,23.308258724272953,2.7053760063862915e-6
13,32,ks,0,1.0335059390150674,0,1
13,32,umax,0.03554208886172308,0.0015009808968382624,23.679241312524784,2.501507597421458e-6
13,33,ks,0,1.0424203080329157,0,1
13,33,umax,0.0364821330136147,0.0015539689482061126,23.476745179322496,2.6104103148140406e-6
13,34,ks,0,1.0149685066334766,0,1
13,34,umax,0.03637394964859359,0.0015085589630548474,24.111718891607637,2.286611761660901e-6
13,35,ks,0,1.3362699288231932,0,1
13,35,umax,0.03646317189497467,0.0019909847631534353,18.31413909829336,8.924776293775098e-6
13,36,ks,0,1.221773326735394,0,1
13,36,umax,0.03601407974852776,0.0017979691323971076,20.030421601572595,5.732251445520422e-6
13,37,ks,0,1.3477285174659492,0,1
13,37,umax,0.03583114548761643,0.001973251261610198,18.158430294567637,9.308996089662452e-6
13,38,ks,0,1.0335050524863838,0,1
13,38,umax,0.03655946273852824,0.0015439444909445777,23.679259813389624,2.501497899214401e-6
13,39,ks,0,1.2227564575963374,0,1
13,39,umax,0.03676964604794126,0.001837167116872356,20.01431753826452,5.755105739024172e-6
13,40,ks,0,1.0137412558760408,0,1
13,40,umax,0.03638737127956786,0.0015072908343740667,24.140909272282848,2.27292108194619e-6
13,41,ks,0,1.0369443163987708,0,1
13,41,umax,0.03649155404299159,0.0015462050132959509,23.60072159202535,2.5430769282566468e-6
13,42,ks,0,1.1803113415485689,0,1
13,42,umax,0.037251104147896126,0.0017966148133916123,20.734051545291592,4.83191949262174e-6
13,43,ks,0,1.0559114461552916,0,1
13,43,umax,0.036936262478201,0.001593674841195829,23.176787085680242,2.7823646565384355e-6
13,44,ks,0,1.2372847214286713,0,1
13,44,umax,0.036890593438404985,0.001865110432550443,19.77930786004933,6.101371383148328e-6
13,45,ks,0,1.3490473197930957,0,1
13,45,umax,0.03648841988470992,0.0020114142438320487,18.140678876368078,9.354044985441352e-6
13,46,ks,0,1.0718385390528842,0,1
13,46,umax,0.03564379794994062,0.0015611068496937176,22.832388415266884,2.9968332255010907e-6
13,47,ks,0,1.277646625446399,0,1
13,47,umax,0.0374555554749451,0.001955447835381685,19.15446415763585,7.150792582975253e-6
13,48,ks,0,0.9874663040865842,0,1
13,48,umax,0.03648793795718619,0.0014722815962673814,24.783260247015686,1.9951039798230605e-6
13,49,ks,0,1.174743509582036,0,1
13,49,umax,0.03618409929526232,0.0017369210535049739,20.832322356992318,4.720118152222191e-6
13,50,ks,0,1.3902781250609235,0,1
13,50,umax,0.03664572774496716,0.0020818253918778898,17.602690354310287,1.0851942514097874e-5
13,51,ks,0,1.149039594428169,0,1
13,51,umax,0.03620396519733768,0.001699849292996533,21.298338238866165,4.230305808667777e-6
13,52,ks,0,1.2291328306657456,0,1
13,52,umax,0.03691302446307604,0.0018539486437013232,19.910489208256,5.905104285845117e-6
13,53,ks,0,1.0478775818811683,0,1
13,53,umax,0.03684471829674156,0.0015776296427545728,23.35447895895893,2.6789181304131727e-6
13,54,ks,0,1.3364702520560288,0,1
13,54,umax,0.03646223427791239,0.001991231972184118,18.311394547325467,8.931382307638892e-6
13,55,ks,0,1.0367314523961795,0,1
13,55,umax,0.036509382534407206,0.001546642832913123,23.605567980838398,2.540487333401846e-6
13,56,ks,0,1.4043054488705833,0,1
13,56,umax,0.035810339124237506,0.002054893333743898,17.426860331963372,1.1402685488509177e-5
13,57,ks,0,1.0473829004266904,0,1
13,57,umax,0.03647760581798205,0.0015611731138121898,23.36550988180183,2.6726495980596876e-6
13,58,ks,0,0.9739112864071544,0,1
13,58,umax,0.03644226818295271,0.0014502539979685883,25.128197015142465,1.862756326689131e-6
13,59,ks,0,1.1659423520458392,0,1
13,59,umax,0.036686955079236416,0.0017478655365410363,20.98957517741244,4.547590641628305e-6
13,60,ks,0,1.3318347227204117,0,1
13,60,umax,0.037078350023871935,0.0020178551396930586,18.37512975758608,8.779472987087187e-6
13,61,ks,0,1.2072565887929294,0,1
13,61,umax,0.03628520602131727,0.0017899810410630212,20.271279521356533,5.40307016891321e-6
13,62,ks,0,1.0203846690310387,0,1
13,62,umax,0.036289652686268846,0.001513094309497523,23.983734826363943,2.347817231136505e-6
13,63,ks,0,1.0660472705937418,0,1
