DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc,day,log.Particles.per.ml
0,22,220,16,33,27,5.05,0.21041666666666667,3.332204510175204
0,22,330,16,35,92,5.083333333,0.21180555554166666,4.532599493153256
0,22,440,16,37,90,5.116666667,0.21319444445833333,4.51085950651685
0,25,0,16,42,133,5.2,0.21666666666666667,4.897839799950911
0,25,11,16,45,213,5.25,0.21875,5.365976015021851
0,25,22,16,47,353,5.283333333,0.220138888875,5.869296913133774
0,25,33,16,49,197,5.316666667,0.22152777779166666,5.288267030694535
0,25,55,16,52,266,5.366666667,0.22361111112499998,5.58724865840025
0,25,110,16,54,60,5.4,0.225,4.110873864173311
0,25,220,16,56,146,5.433333333,0.226388888875,4.990432586778736
0,25,330,16,58,396,5.466666667,0.22777777779166666,5.983936280687191
0,25,440,17,0,30,5.5,0.22916666666666666,3.4339872044851463
0,28,0,17,7,156,5.616666667,0.23402777779166664,5.056245805348308
0,28,11,17,9,121,5.65,0.2354166666666667,4.804021044733257
0,28,22,17,11,154,5.683333333,0.23680555554166668,5.043425116919247
0,28,33,17,13,320,5.716666667,0.23819444445833335,5.771441123130016
0,28,55,17,16,154,5.766666667,0.24027777779166667,5.043425116919247
0,28,110,17,18,87,5.8,0.24166666666666667,4.477336814478207
0,28,220,17,20,124,5.833333333,0.24305555554166666,4.8283137373023015
0,28,330,17,23,167,5.883333333,0.24513888887500002,5.123963979403259
0,28,440,17,25,122,5.916666667,0.24652777779166668,4.812184355372417
1,25,0,15,57,459,28.45,1.1854166666666666,6.131226489483141
1,25,11,16,1,465,28.51666667,1.1881944445833332,6.1441856341256456
1,25,22,16,3,306,28.55,1.1895833333333334,5.726847747587197
1,25,33,16,5,390,28.58333333,1.1909722220833332,5.968707559985366
1,25,55,16,8,337,28.63333333,1.1930555554166666,5.823045895483019
1,25,110,16,10,184,28.66666667,1.1944444445833333,5.220355825078324
1,25,220,16,12,245,28.7,1.1958333333333333,5.5053315359323625
1,25,330,16,14,471,28.73333333,1.1972222220833333,6.156978985585555
1,25,440,16,16,366,28.76666667,1.19861111125,5.905361848054571
1,28,0,15,55,802,28.41666667,1.1840277779166668,6.688354713946762
1,28,11,16,23,436,28.88333333,1.2034722220833334,6.07993319509559
1,28,22,16,25,318,28.91666667,1.20486111125,5.765191102784844
1,28,33,16,27,808,28.95,1.20625,6.695798917058491
1,28,55,16,29,699,28.98333333,1.20763888875,6.551080335043404
1,28,110,16,31,401,29.01666667,1.2090277779166667,5.996452088619021
1,28,220,16,34,382,29.06666667,1.21111111125,5.948034989180646
1,28,330,16,36,370,29.1,1.2125000000000001,5.916202062607435
1,28,440,16,38,525,29.13333333,1.21388888875,6.26530121273771
1,13,0,10,27,276,22.95,0.9562499999999999,5.6240175061873385
1,13,11,11,52,399,24.36666667,1.0152777779166666,5.991464547107982
1,13,22,11,54,304,24.4,1.0166666666666666,5.720311776607412
1,13,33,11,56,546,24.43333333,1.0180555554166666,6.304448802421981
1,13,55,11,58,305,24.46666667,1.0194444445833333,5.723585101952381
1,13,110,12,0,207,24.5,1.0208333333333333,5.337538079701318
1,13,220,12,3,469,24.55,1.0229166666666667,6.152732694704104
1,13,440,12,5,359,24.58333333,1.0243055554166667,5.886104031450156
1,16,0,10,30,494,23,0.9583333333333334,6.20455776256869
1,16,11,12,9,785,24.65,1.0270833333333333,6.666956792429207
1,16,22,12,12,573,24.7,1.0291666666666666,6.352629396319567
1,16,33,12,14,408,24.73333333,1.0305555554166668,6.013715156042802
1,16,55,12,16,374,24.76666667,1.0319444445833332,5.926926025970411
1,16,110,12,18,296,24.8,1.0333333333333334,5.6937321388027
1,16,220,12,21,152,24.85,1.0354166666666667,5.030437921392435
1,16,440,12,23,244,24.88333333,1.0368055554166666,5.501258210544727
1,19,0,10,32,31,23.03333333,0.9597222220833334,3.4657359027997265
1,19,11,12,28,1381,24.96666667,1.0402777779166665,7.231287004327616
1,19,22,12,30,185,25,1.0416666666666667,5.225746673713202
1,19,33,12,32,371,25.03333333,1.0430555554166667,5.918893854273146
1,19,55,12,34,120,25.06666667,1.0444444445833334,4.795790545596741
1,19,110,12,37,84,25.11666667,1.0465277779166666,4.442651256490317
1,19,220,12,40,206,25.16666667,1.04861111125,5.332718793265369
1,19,440,12,43,183,25.21666667,1.0506944445833333,5.214935757608986
1,22,0,10,34,92,23.06666667,0.96111111125,4.532599493153256
1,22,11,10,45,117,23.25,0.96875,4.770684624465665
1,22,22,10,47,0,23.28333333,0.9701388887500001,0
1,22,33,10,50,56,23.33333333,0.9722222220833333,4.04305126783455
1,22,55,10,52,121,23.36666667,0.97361111125,4.804021044733257
1,22,110,10,54,60,23.4,0.975,4.110873864173311
1,22,220,10,57,31,23.45,0.9770833333333333,3.4657359027997265
1,22,330,10,59,31,23.48333333,0.9784722220833334,3.4657359027997265
1,22,440,11,1,89,23.51666667,0.97986111125,4.499809670330265
1,25,0,10,36,201,23.1,0.9625,5.308267697401205
1,25,11,11,7,320,23.61666667,0.9840277779166667,5.771441123130016
1,25,22,11,9,151,23.65,0.9854166666666666,5.0238805208462765
1,25,33,11,12,487,23.7,0.9874999999999999,6.1903154058531475
1,25,55,11,14,401,23.73333333,0.98888888875,5.996452088619021
1,25,110,11,16,506,23.76666667,0.9902777779166666,6.2285110035911835
1,25,220,11,18,538,23.8,0.9916666666666667,6.289715570908998
1,25,330,11,21,614,23.85,0.99375,6.421622267806518
1,25,440,11,25,153,23.91666667,0.9965277779166667,5.0369526024136295
1,28,0,10,38,580,23.13333333,0.96388888875,6.364750756851911
1,28,11,11,32,610,24.03333333,1.00138888875,6.415096959171596
1,28,22,11,34,975,24.06666667,1.0027777779166667,6.883462586413092
1,28,33,11,36,457,24.1,1.0041666666666667,6.126869184114185
1,28,55,11,38,691,24.13333333,1.0055555554166666,6.539585955617669
1,28,110,11,40,710,24.16666667,1.0069444445833333,6.566672429803241
1,28,220,11,42,214,24.2,1.0083333333333333,5.3706380281276624
1,28,330,11,45,439,24.25,1.0104166666666667,6.0867747269123065
1,28,440,11,47,1000,24.28333333,1.0118055554166667,6.90875477931522
2,22,0,15,27,1713,51.95,2.1645833333333333,7.446585099157725
2,22,11,15,37,1389,52.11666667,2.171527777916667,7.237059026124737
2,22,22,15,39,1101,52.15,2.1729166666666666,7.004881989712859
