term,estimate,std.error,statistic,p.value,Species,Temperature,N.Treatment
r,0.5746508667737774,0.05578178607870736,10.301765274474228,1.7580600436057958e-5,CH,13,11
r,0.6227653853449954,0.05761375717398449,10.809317355650697,1.2779852428679554e-5,CH,13,22
r,0.6674348770359414,0.05326801622715998,12.529749074748416,4.755684395630836e-6,CH,13,33
r,0.5057203398192291,0.08877998070107883,5.6963330677214685,7.381437079124803e-4,CH,13,55
r,0.4947421429631172,0.05687240608419815,8.699159698477748,5.318540737740797e-5,CH,13,110
r,0.5232721767619715,0.07438917393971423,7.034251747250706,2.05224958075579e-4,CH,13,220
r,0.4965756042862498,0.043485350394744895,11.419376865507788,8.863216015573137e-6,CH,13,440
r,0.4781997949262449,0.05851179209169769,8.172708061595968,7.950870819614394e-5,CH,13,330
r,0.5589386329933475,0.08049820191714122,6.943492148665342,4.425069764074618e-4,CH,16,0
r,0.8243038602581746,0.06984132822225365,11.802522678764367,7.684096465555707e-5,CH,16,11
r,0.8541565333967789,0.07704586196774967,11.086338858202625,1.040471518685849e-4,CH,16,22
r,0.8924982217864079,0.10964738695208864,8.13971264245807,4.544359494751055e-4,CH,16,33
r,0.9529642860567908,0.1251383177604174,7.615287652190445,6.205915210585026e-4,CH,16,55
r,0.8838216162813632,0.06726757851653412,13.138894483382114,1.1994556050794021e-5,CH,16,110
r,0.83417766331339,0.039242454000265756,21.257020860819278,7.067223294131635e-7,CH,16,220
r,0.8558356186043505,0.03576916111274085,23.926633781173717,3.50047200694881e-7,CH,16,440
r,0.8238123376328457,0.04811337534661528,17.122314360570005,2.5399624759241144e-6,CH,16,330
r,0.7049258652702227,0.11165887430567398,6.313209493232386,0.0014684545818913312,CH,19,0
r,0.9968705135280745,0.15251689741192367,6.536131605376728,0.002831146355012063,CH,19,11
r,0.9887544186231932,0.19657884844401624,5.029810818658758,0.007334467999615012,CH,19,22
r,1.10856444852884,0.10793927497754627,10.270260280694359,1.50405486451744e-4,CH,19,33
r,1.0443015706683556,0.11682882713227499,8.93873195770411,2.9199984842168114e-4,CH,19,55
r,1.1281481757731944,0.12346014612240469,9.137751826850186,2.6298699695541855e-4,CH,19,110
r,1.1631485406425868,0.0797365160833735,14.587401077649092,2.733959577149554e-5,CH,19,220
r,1.180543569633485,0.10150130283590635,11.630821838238166,8.250025699202407e-5,CH,19,440
r,1.1877750106468337,0.10810217222149077,10.987522139825266,1.086461186286284e-4,CH,19,330
r,0.9824361626423307,0.12071985582756023,8.138148906056276,4.5484636669709664e-4,CH,22,0
r,1.1885502703520612,0.14841229548935006,8.008435328307085,4.904769454452324e-4,CH,22,11
r,1.0720962520695332,0.1373730213827419,7.804270746018694,1.0673162372292608e-4,CH,22,22
r,1.1270473535418715,0.09954210182210586,11.322318224262991,9.383281105700513e-6,CH,22,33
r,1.0450616142412812,0.06437267111353648,16.23455413863543,2.0841686258679211e-7,CH,22,55
r,1.1583822210744188,0.07647525808491656,15.147150203640697,3.5724751884822795e-7,CH,22,110
r,1.1379553591212526,0.07519570630855352,15.133249157230273,3.5980098089169635e-7,CH,22,220
r,1.2154406259343014,0.10515107192978022,11.558994156007952,2.850333628446825e-6,CH,22,440
r,1.2570318148995372,0.0713803759018664,17.610327754895856,1.1047148263509446e-7,CH,22,330
r,1.1981575933987532,0.14844190450730024,8.071559020854712,1.9364849924738038e-4,CH,25,0
r,1.3020107603875988,0.25490737821929044,5.107779811957862,0.002204495164962982,CH,25,11
r,1.2514125206393705,0.10725010777716185,11.668170285101102,8.122800913357903e-5,CH,25,22
r,1.39470368075229,0.16700183184571912,8.351427438477174,1.601626281218159e-4,CH,25,33
r,1.2042573611818659,0.21325265748953692,5.647091930101513,0.001322480276721969,CH,25,55
r,1.4134764408586846,0.10429430229294105,13.552767598833181,8.439479548538862e-7,CH,25,110
r,1.4621198928888868,0.08991557247077993,16.261030794905246,2.0578852266946226e-7,CH,25,220
r,1.4934967246249677,0.06159677689117325,24.246345344718584,8.931267331973035e-9,CH,25,440
r,1.4880105604785703,0.057925996885178126,25.688130381737402,5.65608141941775e-9,CH,25,330
r,0.9326843250432403,0.23109004853848997,4.036021156869046,0.006833462505424176,CH,28,0
r,1.198385547613625,0.22482686983909034,5.330259450177442,0.001777701500527451,CH,28,11
r,1.2529478220333807,0.22632683194239073,5.536010959373594,0.0014649744936690863,CH,28,22
r,1.4133343328610692,0.14936267683874177,9.462433070792942,7.930184731784577e-5,CH,28,33
r,1.1073196934467087,0.19854096544447064,5.577285730266139,0.0014100759822210083,CH,28,55
r,1.3041120135247615,0.14505992114519858,8.99016077789952,1.0592256143246843e-4,CH,28,110
r,1.4770672763768529,0.06764340150020777,21.836088127122288,2.0408053663709544e-8,CH,28,220
r,1.3505799384385055,0.09599075211700661,14.069896408273108,6.323118413084384e-7,CH,28,440
r,1.347448700560616,0.09480565516738707,14.212746045387124,5.848579745411033e-7,CH,28,330
r,0.22360992084436468,0.04516551642148618,4.950899238207066,0.0016545637296277106,CS,13,0
r,0.3733793385421862,0.05366930561024691,6.957036881634221,4.37859082936406e-4,CS,13,11
r,0.35617170282657806,0.04831542713601099,7.371800767153153,3.1938307523195246e-4,CS,13,22
r,0.3649451715698709,0.04143446164177372,8.807769115598635,1.1887752046801205e-4,CS,13,33
r,0.3713937654344278,0.03853072024685292,9.638900156940675,7.140687384307726e-5,CS,13,55
r,0.34911777739466143,0.03678347010588769,9.491159381908897,7.795036507780109e-5,CS,13,110
r,0.37692991453468855,0.03283612776844449,11.47912193522764,2.624586829252789e-5,CS,13,220
r,0.40238327990299894,0.05335773099758114,7.5412367126563185,2.819412780552749e-4,CS,13,440
r,0.3980214436138604,0.03429991163062806,11.604153617073687,2.4654600101258983e-5,CS,13,330
r,0.27147712007993136,0.04158550034150721,6.528167699090188,6.16796786275341e-4,CS,16,0
r,0.5076166756784581,0.06488660883434642,7.823134615871025,5.472987211444252e-4,CS,16,11
r,0.4354561651013209,0.07531327344288762,5.781931194791856,0.002177392241142992,CS,16,22
r,0.4257527737910468,0.06020642922599103,7.071549986678996,8.747999347987619e-4,CS,16,33
r,0.3582425155808041,0.10112926408954273,3.542421857867036,0.01651998195433925,CS,16,55
r,0.42626492310912,0.0797432672515636,5.3454659910584725,0.0030755257476439224,CS,16,110
r,0.41125748618965546,0.1330431551664693,3.0911585468269482,0.02712376320961599,CS,16,220
r,0.3957799194229878,0.07158561605378858,5.528763196304737,0.00265359455825863,CS,16,440
r,0.3900225858916449,0.10144569238746898,3.8446441313837614,0.012066593763496634,CS,16,330
r,0.28777733361376323,0.05812186098343514,4.951275281701327,0.0025746520503825074,CS,19,0
r,0.5678501383814278,0.08313981923491959,6.830062220569815,0.0010262936442177047,CS,19,11
r,0.6117656208342704,0.0859769190433236,7.115463401590408,8.501792992981407e-4,CS,19,22
r,0.6280183344170862,0.07075099233704815,8.876459731127047,3.0184945159924696e-4,CS,19,33
r,0.5855837553327958,0.08253409681194279,7.0950525655726455,8.615194875191497e-4,CS,19,55
r,0.6002062786408815,0.07891507791633649,7.605723703107827,6.242352846699634e-4,CS,19,110
r,0.5848685600873944,0.10215347814371321,5.7253905663846325,0.0022743887300402457,CS,19,220
r,0.6336578184445133,0.03977146858605267,15.932472221222648,1.7730859571329528e-5,CS,19,440
r,0.6043167159842435,0.052524967462702535,11.505322995456645,8.695309950578944e-5,CS,19,330
r,0.29178357721010284,0.04845830037212654,6.021333290053612,5.308584561960006e-4,CS,22,0
r,0.6671310587717553,0.049193315424055806,13.56141689213174,9.973785146523207e-6,CS,22,11
r,0.7224007936018978,0.07484282503929748,9.652238450680999,7.084806184873881e-5,CS,22,22
