DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc,day,log.Particles.per.ml
0,22,330,16,13,911,6.216666667,0.2590277777916667,6.815639990074331
0,22,440,16,16,693,6.266666667,0.261111111125,6.542471960506805
0,25,0,13,54,1079,3.9,0.1625,6.984716320118266
0,25,11,16,20,906,6.333333333,0.263888888875,6.810142450115136
0,25,22,16,22,827,6.366666667,0.26527777779166667,6.71901315438526
0,25,33,16,26,788,6.433333333,0.26805555554166666,6.670766320845874
0,25,55,16,28,571,6.466666667,0.2694444444583333,6.349138991379798
0,25,110,16,30,929,6.5,0.2708333333333333,6.835184586147301
0,25,220,16,33,812,6.55,0.27291666666666664,6.70073110954781
0,25,330,16,36,591,6.6,0.27499999999999997,6.3835066348840055
0,25,440,16,39,699,6.65,0.27708333333333335,6.551080335043404
0,28,0,13,56,938,3.933333333,0.163888888875,6.844815479208263
0,28,11,16,20,439,6.333333333,0.263888888875,6.0867747269123065
0,28,22,16,22,612,6.366666667,0.26527777779166667,6.418364935936212
0,28,33,16,26,596,6.433333333,0.26805555554166666,6.391917113392602
0,28,55,16,28,668,6.466666667,0.2694444444583333,6.505784060128229
0,28,110,16,30,742,6.5,0.2708333333333333,6.610696044717759
0,28,220,16,33,826,6.55,0.27291666666666664,6.717804695023691
0,28,330,16,36,867,6.6,0.27499999999999997,6.7661917146603505
0,28,440,16,39,578,6.65,0.27708333333333335,6.361302477572996
1,25,0,9,31,509,23.51666667,0.97986111125,6.234410725718371
1,25,11,9,33,420,23.55,0.9812500000000001,6.042632833682381
1,25,22,9,36,841,23.6,0.9833333333333334,6.7357800142423265
1,25,33,9,38,895,23.63333333,0.9847222220833333,6.79794041297493
1,25,55,9,40,394,23.66666667,0.9861111112500001,5.978885764901122
1,25,110,9,44,693,23.73333333,0.98888888875,6.542471960506805
1,25,220,9,47,723,23.78333333,0.9909722220833334,6.584791392385716
1,25,330,9,50,803,23.83333333,0.9930555554166666,6.6895992691789665
1,25,440,9,52,480,23.86666667,0.9944444445833334,6.175867270105761
1,28,0,9,28,398,23.46666667,0.9777777779166666,5.988961416889864
1,28,11,10,0,513,24,1,6.2422232654551655
1,28,22,10,3,782,24.05,1.0020833333333334,6.663132695990803
1,28,33,10,5,546,24.08333333,1.0034722220833332,6.304448802421981
1,28,55,10,10,730,24.16666667,1.0069444445833333,6.594413459749778
1,28,110,10,12,387,24.2,1.0083333333333333,5.961005339623274
1,28,220,10,15,613,24.25,1.0104166666666667,6.419994928147142
1,28,330,10,18,410,24.3,1.0125,6.018593214496234
1,28,440,10,20,371,24.33333333,1.01388888875,5.918893854273146
1,13,0,15,54,306,29.9,1.2458333333333333,5.726847747587197
1,13,11,16,13,430,30.21666667,1.2590277779166665,6.066108090103747
1,13,22,16,15,435,30.25,1.2604166666666667,6.077642243349034
1,13,33,16,17,489,30.28333333,1.2618055554166667,6.194405391104672
1,13,55,16,20,346,30.33333333,1.26388888875,5.849324779946859
1,13,110,16,22,408,30.36666667,1.2652777779166666,6.013715156042802
1,13,220,16,24,601,30.4,1.2666666666666666,6.400257445308821
1,13,330,16,26,379,30.43333333,1.2680555554166666,5.940171252720432
1,13,440,16,29,288,30.48333333,1.27013888875,5.666426688112432
1,16,0,15,57,420,29.95,1.2479166666666666,6.042632833682381
1,16,11,16,37,428,30.61666667,1.2756944445833334,6.061456918928017
1,16,22,16,39,316,30.65,1.2770833333333333,5.75890177387728
1,16,33,16,44,405,30.73333333,1.2805555554166668,6.0063531596017325
1,16,55,16,47,170,30.78333333,1.28263888875,5.14166355650266
1,16,110,16,49,307,30.81666667,1.2840277779166667,5.730099782973574
1,16,220,16,56,103,30.93333333,1.28888888875,4.6443908991413725
1,16,330,16,58,207,30.96666667,1.2902777779166665,5.337538079701318
1,16,440,17,1,355,31.01666667,1.29236111125,5.87493073085203
1,19,0,16,0,516,30,1.25,6.248042874508429
1,19,11,17,8,298,31.13333333,1.2972222220833334,5.700443573390687
1,19,22,17,10,293,31.16666667,1.29861111125,5.683579767338681
1,19,33,17,12,414,31.2,1.3,6.028278520230698
1,19,55,17,14,300,31.23333333,1.30138888875,5.707110264748875
1,19,110,17,17,321,31.28333333,1.3034722220833335,5.7745515455444085
1,19,220,17,19,214,31.31666667,1.30486111125,5.3706380281276624
1,19,330,17,21,538,31.35,1.3062500000000001,6.289715570908998
1,19,440,17,23,774,31.38333333,1.30763888875,6.652863029353347
