a,Temperature,N.Treatment,run,Species
0.5743120836832735,13,220,22,AC
0.5777792666888513,13,220,23,AC
0.580620342508994,13,220,24,AC
0.5764285247721399,13,220,25,AC
0.5764285247650942,13,220,26,AC
0.5777792666888513,13,220,27,AC
0.5806203424549511,13,220,28,AC
0.5845470962711865,13,220,29,AC
0.5780484074437519,13,220,30,AC
0.5780484074437519,13,220,31,AC
0.5764285247650942,13,220,32,AC
0.580620342508994,13,220,33,AC
0.5664282951323241,13,220,34,AC
0.5845470962711865,13,220,35,AC
0.5743120836659245,13,220,36,AC
0.5764285247650942,13,220,37,AC
0.5780484074437519,13,220,38,AC
0.5777792666888513,13,220,39,AC
0.5743120836832735,13,220,40,AC
0.5780484074215728,13,220,41,AC
0.5780294061725756,13,220,42,AC
0.580620342508994,13,220,43,AC
0.5743120836724965,13,220,44,AC
0.5806203424764493,13,220,45,AC
0.5780484074215728,13,220,46,AC
0.5664282950101607,13,220,47,AC
0.5764285247650942,13,220,48,AC
0.5777792667032077,13,220,49,AC
0.5664282951323241,13,220,50,AC
0.58062034245795,13,220,51,AC
0.5664282949387612,13,220,52,AC
0.5743120836832735,13,220,53,AC
0.5764285247650942,13,220,54,AC
0.5764285247721399,13,220,55,AC
0.5764285247650942,13,220,56,AC
0.5743120836832735,13,220,57,AC
0.5764285247650942,13,220,58,AC
0.5664282950101607,13,220,59,AC
0.5777792667032077,13,220,60,AC
0.5845470962980304,13,220,61,AC
0.5664282951323241,13,220,62,AC
0.5743120836832735,13,220,63,AC
0.5780484074437519,13,220,64,AC
0.5743120836659245,13,220,65,AC
0.5743120836832735,13,220,66,AC
0.5664282951323241,13,220,67,AC
0.5743120836832735,13,220,68,AC
0.5743120836421647,13,220,69,AC
0.5780294061671162,13,220,70,AC
0.5845470962980304,13,220,71,AC
0.5777792666303455,13,220,72,AC
0.5780294061743122,13,220,73,AC
0.5664282949965855,13,220,74,AC
0.566428294954247,13,220,75,AC
0.5845470962980304,13,220,76,AC
0.5845470962614935,13,220,77,AC
0.5780484074437519,13,220,78,AC
0.5764285247650942,13,220,79,AC
0.5780484074437519,13,220,80,AC
0.5664282949965855,13,220,81,AC
0.5743120836832735,13,220,82,AC
0.5743120836724965,13,220,83,AC
0.5777792666303455,13,220,84,AC
0.57802940616208065,13,220,85,AC
0.5664282950035842,13,220,86,AC
0.5845470962711865,13,220,87,AC
