curve.id.list,topt.list,maxgrowth.list,z.list,w.list,a.list,b.list,rsqr.list,s.list,n.list
19,23.532189428988687,2.6502925642475037,6.401785812089057,46.21652011512465,0.2060385411934691,0.14243689387874645,0.9902049749430692,0.052703282643288836,6
20,23.71060316329615,2.6675073798252456,6.5568418799106825,45.947389760274824,0.18511641883876367,0.1469074778104724,0.9870597253094474,0.062415894086081454,6
21,23.555578931666027,2.79743532458712,11.725688020040845,35.38787087537527,0.2023420817014516,0.13665150510469817,0.9910630893113708,0.05565106651228979,6
22,23.520404290078474,2.7433169358766176,11.110805920118256,36.636134920032355,0.20346308223775486,0.13671805844043114,0.9900651413499243,0.05770783160259316,6
23,23.649328170529536,2.721620787885457,5.295513338134358,48.277907421538735,0.1887629949301458,0.14932847432383548,0.987532378543892,0.0614253418761108,6
24,23.35194074309257,2.683641167185454,13.082606040555202,32.902345673857745,0.24112122456846927,0.124331273127787,0.9946264175117538,0.04030722223453837,6
25,23.68449076512106,2.6702472910738053,7.174146170349628,44.66374738910666,0.18533752809163406,0.14603256576846216,0.9562841045239887,0.11278826847999211,6
26,23.46652458740852,2.688409809748557,11.291631585689725,36.529333661106044,0.22177138354195366,0.1313633347337799,0.97205995935358,0.09146586618233933,6
27,23.553473421645457,2.756671581632828,12.983826864645215,32.87913016367875,0.2029246810643271,0.13341164084118734,0.9875274605997538,0.06625968572536557,6
28,23.62045787248911,2.7289807005281013,7.2888587456089775,44.28003645216939,0.18958919325371962,0.14616008656796622,0.9911842652417123,0.052719925708362696,6
29,23.51884476292063,2.705099891796327,10.930061285844937,37.10574527427842,0.2067094975717224,0.13557325264784822,0.9795431518497028,0.08186195424043234,6
30,23.34732692820322,2.7081444241220343,13.353252219883878,32.31267987912367,0.24255226422196657,0.12400209035047656,0.9841236110978417,0.07154035938650499,6
31,23.562993602391888,2.7978184719525454,9.566072810073857,39.650153196741684,0.196432220811317,0.14201765410310702,0.9855310038584809,0.07155014318602397,6
32,23.52991075535151,2.7380406548366083,10.93967246923039,37.03206819029643,0.20457595349037708,0.13661795085023642,0.9706647479385806,0.09879875723982905,6
33,23.380590005984892,2.6579375790769677,12.333148314811867,34.47370165265139,0.23593467331823054,0.1262031332752285,0.9939487158635912,0.04255087575815434,6
34,23.731557284538788,2.7086232194792297,8.490362189702934,41.82633367608927,0.16968724361403648,0.14864857797278874,0.9856531510588796,0.0687579500140743,6
35,23.423799982610674,2.688431122228247,11.104616288052465,36.78517602955304,0.2215868874389299,0.13196955653913714,0.9936841725583581,0.04326160423406607,6
36,23.566266261824033,2.7282114351251905,9.22577384719494,40.41590151486862,0.19581388385785464,0.14149908466722255,0.9919272690591017,0.05041016448041692,6
37,23.38314637624588,2.6780925853682174,14.089879892477208,30.904303408309445,0.24230362922293805,0.12195231697468417,0.992299339129497,0.048751193069378765,6
38,23.661352473821925,2.6633844511462343,6.688536903573117,45.56642188277687,0.18494764659691126,0.1469450192937202,0.9737228354622454,0.08698198255613356,6
39,23.281922915218225,2.5293838025830215,12.722498033610895,34.19883395769188,0.26974002750920967,0.11676353778586036,0.924914388926247,0.13465285589499432,6
40,23.562829628496132,2.794866357167448,9.715261436081429,39.315186023275594,0.1942224065072269,0.14226553907829256,0.9921387415454722,0.05211930778064093,6
41,23.513715185027287,2.7546596908374195,11.514810429912217,35.83765610938444,0.2064056681946127,0.13550112412279414,0.9932069097681968,0.047569524627129094,6
42,23.67464113633641,2.735082558213163,7.5241565870914044,43.80395942628749,0.1821903448696532,0.14756689464856393,0.9856024841304236,0.0676633697165095,6
43,23.661608477934962,2.7618538672102244,7.052476155956862,44.81784926048337,0.18998321059739962,0.14681139195469572,0.9860504900552124,0.06711303029307873,6
44,23.567921766409196,2.624326695003438,7.275716577872482,44.57945922955321,0.20397624839186823,0.14081416295980392,0.9726590363087272,0.08542315748644332,6
45,23.52005877623327,2.7655937234831702,10.87731017381576,37.064257480416394,0.2027086625613246,0.13773304654377838,0.986782308212322,0.06832055260754083,6
46,23.45463860823285,2.6341741472601785,9.838419602994605,39.41979091061111,0.21694375580987896,0.1341029234357188,0.9851427880689038,0.06634012132267418,6
47,23.51055621077474,2.6204304271481997,9.856626227157971,39.52045244376201,0.21567652777610455,0.1338273895058187,0.9392643599225993,0.1299544517755315,6
48,23.580149680921096,2.7593619470328354,10.991475452140925,36.83162476329924,0.1937183342968831,0.13935920622954914,0.9911681562403752,0.05493397850278445,6
49,23.47751917871568,2.762426287416672,11.437737113566227,35.965821336283994,0.21067205011617154,0.13494682134183902,0.9923015714655127,0.051191086115489726,6
50,23.360031335649346,2.5891141936884146,13.072119835895371,33.1655939596229,0.24560711239057553,0.1216306300598404,0.9759280689753207,0.08045189583361799,6
51,23.45131259673198,2.6779919285286327,10.746506801688684,37.60139620525716,0.22149624604677626,0.13229227374320085,0.9764393991695044,0.0833041044902054,6
52,23.49219961087512,2.7517237875958784,13.577160176959085,31.741700183803424,0.2172967636660752,0.1291276394662596,0.9893370518047295,0.06061290248558796,6
53,23.496414694403963,2.75459119647939,11.327305045463795,36.21944152399382,0.20896019233258117,0.13531926014444087,0.9938811863705755,0.04568038749741384,6
54,23.603575094402068,2.7532810478180965,8.856097353315155,41.069295439431315,0.18792461644020322,0.144457565556213,0.9921012267113745,0.05122477875920053,6
55,23.57972176395055,2.775021088552479,11.813510977193285,35.25596019201432,0.19980484723546255,0.13659189084268655,0.9934590346545396,0.04806851848236442,6
56,23.524847765617963,2.778533819653088,11.025926451845839,36.74590040794282,0.20191870161049358,0.13786215770321172,0.9944310010466605,0.04334982504896654,6
57,23.671213276187522,2.7379485543721493,6.892045036911002,45.00826831867665,0.18028245691016664,0.14921927594498688,0.9863232345926496,0.06671592739984986,6
58,23.614220030959856,2.7308316504090553,9.72529010284061,39.48888820265527,0.19333706250599156,0.14104924867204638,0.9839869063893922,0.07128733815723594,6
59,23.690699190241112,2.7317592313306,7.995937959032591,42.81017388590935,0.1765774566891456,0.14817248290021587,0.9910274620543658,0.054384418345969375,6
60,23.655531640467352,2.743919723418063,8.08763126434462,42.54594955118951,0.17760113327654817,0.1481477372118757,0.9933889513169817,0.047091050813741715,6
61,23.523478567778035,2.7714210654546463,11.107134252503672,36.723990608908395,0.2097220005626234,0.13571239194059814,0.9940566844396196,0.044542882154651686,6
62,23.547893121568578,2.651088620488749,6.98301310604564,45.102479807030576,0.2057200225772924,0.1414891514788698,0.9684213158184709,0.09459391645237328,6
63,23.41146042872934,2.6106185316318435,10.830021448779744,37.54212462853194,0.22742412911419807,0.12972238058484264,0.9778403494510366,0.07823244321256767,6
64,23.625245246331648,2.743438554775149,7.470433279472457,43.901241856174174,0.18877870999341237,0.14630497016218738,0.9841460958458792,0.07354528814478337,6
65,23.10572119253906,2.62223551035632,17.143251459015325,25.160688252578634,0.35818035279035854,0.09716902949506621,0.9835831208823379,0.07054647873968131,6
66,23.678888030695884,2.6732529770884024,7.751160841197047,43.42444342847697,0.18110105338411536,0.14631176343493665,0.9637834451198166,0.10473038022427185,6
67,23.485468424495664,2.687419770830683,12.04141781828738,34.99250804142344,0.21819781085284032,0.13068722639614205,0.9739433760557711,0.090849631913972,6
68,23.59641309125483,2.7727713510366674,11.689473890542052,35.40542578200721,0.1915781777499614,0.1387716445166225,0.9891451050047816,0.06233105127007989,6
69,23.554999198719216,2.778921977771969,9.810192044368362,39.17008035088079,0.19665649156347534,0.14122980199657778,0.9877488428786529,0.0646289787511728,6
70,23.65435652326049,2.6370123013944906,8.405184634540474,42.28015725778897,0.1899180500351996,0.1422768460046898,0.9646902731275717,0.09969987673568247,6
71,23.450051888046715,2.6471119696863337,12.428691355482433,34.31693923908449,0.22690002327308367,0.1274512550438716,0.97733538318541,0.08116381729516409,6
