term,estimate,std.error,statistic,p.value,Species,Temperature,N.Treatment
r,0.6342231025986322,0.09500560046290484,6.675639115046341,5.471635224866075e-4,AC,19,220
r,0.8172793183714683,0.07986533351428345,10.2332173724073,5.077731450262402e-5,AC,19,440
r,0.43101490904882944,0.0784248927010852,5.49589415049165,3.822116562234499e-4,AC,22,0
r,0.7849489148349189,0.05279582664808041,14.86763186922197,1.2183474503310007e-7,AC,22,11
r,0.8926737574454666,0.025548678813984683,34.940114279288686,4.925053343266817e-10,AC,22,22
r,0.8917951478079225,0.06219061598267711,14.339705978412042,1.6667773633828127e-7,AC,22,33
r,0.8993248019803517,0.04737843675809075,18.981732271417233,1.4388221528650086e-8,AC,22,55
r,0.91769794309614,0.05605774961392007,16.370581220553674,5.2673898643495046e-8,AC,22,110
r,0.7644354596023822,0.0870541329235078,8.781150692455599,1.0438091336303317e-5,AC,22,220
r,0.977378575099029,0.058342411630694556,16.752454137237272,4.305972518135345e-8,AC,22,440
r,1.0462063728950142,0.08298690421910683,12.606885179530972,5.052431597308699e-7,AC,22,330
r,0.5514239907895513,0.07460238308163729,7.391506383732122,2.3380632919421096e-5,AC,25,0
r,0.897168136179255,0.05173193270396198,17.342637115712165,8.606599010791233e-9,AC,25,11
r,0.9652685019781555,0.05953582677519756,16.21323754556951,1.652222723983203e-8,AC,25,22
r,1.0391742981289775,0.04212323964778911,24.66985699148427,2.7352090393461655e-10,AC,25,33
r,1.0232843923753894,0.03718504394987754,27.518708697902706,9.304755528526702e-11,AC,25,55
r,1.069593701069404,0.042130305491227,25.3877508980354,2.0616254410682307e-10,AC,25,110
r,1.0877703514348682,0.03395284869450817,32.03767557833266,2.0662858029336653e-11,AC,25,220
r,1.129537373861973,0.06679921798198318,16.909440080071406,1.099938055933798e-8,AC,25,440
r,1.2342086468063345,0.055651591475004265,22.177418724146914,7.79687831976622e-10,AC,25,330
r,0.5598098946064857,0.0804432929755601,6.959062389161075,3.9040462859322165e-5,AC,28,0
r,0.9646094113345174,0.06510557306234867,14.816080497605858,3.93614386203323e-8,AC,28,11
r,1.0255300915742749,0.05730642114577574,17.895552907858917,6.345032842326711e-9,AC,28,22
r,1.0779448868305233,0.04798425479273338,22.464554081055866,6.871644314675325e-10,AC,28,33
r,1.0892169260192341,0.05005709321152383,21.759492134642798,9.397343744801993e-10,AC,28,55
r,1.1384172094815224,0.046510777294361365,24.47641763276951,2.95574962962468e-10,AC,28,110
r,1.1450791859944507,0.03975360424299968,28.804411770942526,5.924630002796629e-11,AC,28,220
r,1.1324291562209858,0.04483833561380949,25.255824970278688,2.1702905812759539e-10,AC,28,440
r,1.1831709425263486,0.033467013857536934,35.353346658381135,7.779146681408552e-12,AC,28,330
r,0.61925778969182,0.0631098354732736,9.812381620834199,2.4236062831266763e-5,CH,13,0
