"","X","unique_ID","unique_ID","species","temperature","replicate","start_time","cell_count","volume"
"121",121,"TT_30_1","TT_30_1","TT",30,1,2016-09-23 10:52:08,12064,905.96
"122",122,"TT_30_2","TT_30_2","TT",30,2,2016-09-23 10:54:17,12229,904.97
"123",123,"TT_30_3","TT_30_3","TT",30,3,2016-09-23 10:56:09,13090,915.64
"124",124,"TT_30_4","TT_30_4","TT",30,4,2016-09-23 10:58:37,16897,904.41
"125",125,"TT_30_5","TT_30_5","TT",30,5,2016-09-23 11:00:41,11879,836.97
"126",126,"BB_10_1","BB_10_1","BB",10,1,2016-09-27 13:16:15,43044,910.79
"127",127,"BB_10_2","BB_10_2","BB",10,2,2016-09-27 13:17:49,41776,918.08
"128",128,"BB_10_3","BB_10_3","BB",10,3,2016-09-27 13:19:27,50014,801.09
"129",129,"BB_10_4","BB_10_4","BB",10,4,2016-09-27 13:21:59,42868,780.53
"130",130,"BB_10_5","BB_10_5","BB",10,5,2016-09-27 13:23:46,50239,712.15
"131",131,"BB_30_2","BB_30_2","BB",30,2,2016-09-27 13:27:28,24764,707.49
"132",132,"BB_30_3","BB_30_3","BB",30,3,2016-09-27 13:29:07,23031,779
"133",133,"BB_30_3","BB_30_3","BB",30,3,2016-09-27 13:32:13,25244,758.82
"134",134,"BB_30_4","BB_30_4","BB",30,4,2016-09-27 13:30:35,21639,838.51
"135",135,"BB_30_5","BB_30_5","BB",30,5,2016-09-27 13:33:56,34162,588.02
"136",136,"CH_10_1","CH_10_1","CH",10,1,2016-09-27 12:18:15,64016,463.07
"137",137,"CH_10_2","CH_10_2","CH",10,2,2016-09-27 12:19:57,65477,480.95
"138",138,"CH_10_3","CH_10_3","CH",10,3,2016-09-27 12:21:36,67414,457.32
"139",139,"CH_10_4","CH_10_4","CH",10,4,2016-09-27 12:23:44,64613,455.56
"140",140,"CH_10_5","CH_10_5","CH",10,5,2016-09-27 12:25:36,65205,478.83
"141",141,"CO_NT_1","CO_NA_1","CO",NA,1,2016-09-27 15:00:56,227,183.63
"142",142,"CO_NT_3","CO_NA_3","CO",NA,3,2016-09-27 15:02:45,39,436.24
"143",143,"TT_10_1","TT_10_1","TT",10,1,2016-09-27 12:01:05,14824,1241.09
"144",144,"TT_10_2","TT_10_2","TT",10,2,2016-09-27 12:02:48,14900,1248.67
"145",145,"TT_10_3","TT_10_3","TT",10,3,2016-09-27 12:04:23,22743,1166.95
"146",146,"TT_10_4","TT_10_4","TT",10,4,2016-09-27 12:06:00,23495,1194.75
"147",147,"TT_10_5","TT_10_5","TT",10,5,2016-09-27 12:07:42,23514,1217.47
"148",148,"TT_30_1","TT_30_1","TT",30,1,2016-09-27 12:09:24,36648,861.17
"149",149,"TT_30_2","TT_30_2","TT",30,2,2016-09-27 12:10:58,30623,864.12
"150",150,"TT_30_3","TT_30_3","TT",30,3,2016-09-27 12:12:36,38477,868.21
"151",151,"TT_30_4","TT_30_4","TT",30,4,2016-09-27 12:14:12,43692,882.39
"152",152,"TT_30_5","TT_30_5","TT",30,5,2016-09-27 12:15:50,53922,832.71
"153",153,"BB_10_1","BB_10_1","BB",10,1,2016-09-30 09:19:21,18238,964.25
"154",154,"BB_10_2","BB_10_2","BB",10,2,2016-09-30 09:21:22,23953,951.34
"155",155,"BB_10_3","BB_10_3","BB",10,3,2016-09-30 09:22:51,27287,758.09
"156",156,"BB_10_4","BB_10_4","BB",10,4,2016-09-30 09:24:21,25728,817.64
"157",157,"BB_10_5","BB_10_5","BB",10,5,2016-09-30 09:25:52,30413,738.73
"158",158,"BB_30_1","BB_30_1","BB",30,1,2016-09-30 14:45:48,30913,799.75
"159",159,"BB_30_2","BB_30_2","BB",30,2,2016-09-30 14:51:31,33190,879.38
