"","sample","date.sampled","date.measured","absorbance.1","absorbance.2","species","temp","rep","notes"
"731","2002-03-03","2017-05-16","2017-07-06",0.045,0.047,2,3,3,""
"732","2001-10-03","2017-05-16","2017-07-06",0.019,0.024,1,10,3,""
"733","2002-10-03","2017-05-16","2017-07-06",0.075,0.069,2,10,3,""
"734","1-17-3","2017-05-16","2017-07-06",0.028,0.029,1,17,3,""
"735","2-17-3","2017-05-16","2017-07-06",0.024,0.024,2,17,3,""
"736","1-24-3","2017-05-16","2017-07-06",NA,NA,1,24,3,"double acid, dicscard"
"737","2-24-3","2017-05-16","2017-07-06",0.014,0.014,2,24,3,""
"738","1-31-3","2017-05-16","2017-07-06",0.046,0.043,1,31,3,""
"739","2-31-3","2017-05-16","2017-07-06",0.035,0.037,2,31,3,""
"740","1-38-3","2017-05-16","2017-07-06",0.022,0.024,1,38,3,""
"741","2-38-3","2017-05-16","2017-07-06",0.034,0.032,2,38,3,""
"742","2001-03-04","2017-05-16","2017-07-06",0.041,0.042,1,3,4,""
"743","2002-03-04","2017-05-16","2017-07-06",0.047,0.047,2,3,4,""
"744","2001-10-04","2017-05-16","2017-07-06",0.014,0.013,1,10,4,""
"745","2002-10-04","2017-05-16","2017-07-06",0.016,0.014,2,10,4,""
"746","1-17-4","2017-05-16","2017-07-06",0.023,0.024,1,17,4,"0.65ml"
"747","2-17-4","2017-05-16","2017-07-06",0.044,0.044,2,17,4,""
"748","1-24-4","2017-05-16","2017-07-06",0.026,0.026,1,24,4,""
"749","2-24-4","2017-05-16","2017-07-06",0.019,0.02,2,24,4,"0.550ml"
"750","1-31-4","2017-05-16","2017-07-06",0.048,0.048,1,31,4,""
"751","2-31-4","2017-05-16","2017-07-06",0.05,0.05,2,31,4,""
"752","1-38-4","2017-05-16","2017-07-06",0.037,0.037,1,38,4,""
"753","2-38-4","2017-05-16","2017-07-06",0.031,0.031,2,38,4,""
"754","2001-03-05","2017-05-16","2017-07-06",0.022,0.021,1,3,5,""
"755","2002-03-05","2017-05-16","2017-07-06",0.039,0.039,2,3,5,""
"756","2001-10-05","2017-05-16","2017-07-06",0.023,0.024,1,10,5,""
"757","2002-10-05","2017-05-16","2017-07-06",0.029,0.031,2,10,5,""
"758","1-17-5","2017-05-16","2017-07-06",0.022,0.022,1,17,5,""
"759","2-17-5","2017-05-16","2017-07-06",0.049,0.048,2,17,5,"0.6ml"
"760","1-24-5","2017-05-16","2017-07-06",0.019,0.019,1,24,5,""
"761","2-24-5","2017-05-16","2017-07-06",0.024,0.025,2,24,5,""
"762","1-31-5","2017-05-16","2017-07-06",0.04,0.041,1,31,5,""
"763","2-31-5","2017-05-16","2017-07-06",0.035,0.034,2,31,5,""
"764","1-38-5","2017-05-16","2017-07-06",0.007,0.006,1,38,5,"0.6ml"
"765","2-38-5","2017-05-16","2017-07-06",0.024,0.025,2,38,5,""
"766","Blank","-","",NA,NA,NA,NA,NA,""
"767","2003-03-01","2017-05-19","2017-07-07",0.039,0.039,3,3,1,""
"768","2004-03-01","2017-05-19","2017-07-07",0.023,0.023,4,3,1,""
"769","2003-10-01","2017-05-19","2017-07-07",0.024,0.025,3,10,1,""
"770","2004-10-01","2017-05-19","2017-07-07",0.033,0.032,4,10,1,""
"771","3-17-1","2017-05-19","2017-07-07",0.017,0.016,3,17,1,""
"772","4-17-1","2017-05-19","2017-07-07",0.031,0.032,4,17,1,""
"773","3-24-1","2017-05-19","2017-07-07",0.031,0.032,3,24,1,"low vol"
"774","4-24-1","2017-05-19","2017-07-07",0.024,0.024,4,24,1,""
"775","3-31-1","2017-05-19","2017-07-07",0.024,0.023,3,31,1,""
"776","4-31-1","2017-05-19","2017-07-07",0.021,0.02,4,31,1,""
"777","3-38-1","2017-05-19","2017-07-07",0.02,0.021,3,38,1,""
"778","4-38-1","2017-05-19","2017-07-07",0.025,0.026,4,38,1,""
"779","2003-03-02","2017-05-19","2017-07-07",0.05,0.048,3,3,2,""
"780","2004-03-02","2017-05-19","2017-07-07",0.022,0.021,4,3,2,""
"781","2003-10-02","2017-05-19","2017-07-07",0.019,0.018,3,10,2,""
"782","2004-10-02","2017-05-19","2017-07-07",0.067,0.068,4,10,2,"low vol"
"783","3-17-2","2017-05-19","2017-07-07",0.02,0.02,3,17,2,""
"784","4-17-2","2017-05-19","2017-07-07",0.015,0.015,4,17,2,""
"785","3-24-2","2017-05-19","2017-07-07",0.035,0.035,3,24,2,"low vol"
"786","4-24-2","2017-05-19","2017-07-07",0.037,0.038,4,24,2,""
"787","3-31-2","2017-05-19","2017-07-07",0.016,0.017,3,31,2,"low vol"
"788","4-31-2","2017-05-19","2017-07-07",0.027,0.025,4,31,2,""
"789","3-38-2","2017-05-19","2017-07-07",0.027,0.026,3,38,2,""
"790","4-38-2","2017-05-19","2017-07-07",0.058,0.06,4,38,2,""
"791","2003-03-03","2017-05-19","2017-07-07",0.048,0.049,3,3,3,""
"792","2004-03-03","2017-05-19","2017-07-07",0.023,0.021,4,3,3,""
"793","2003-10-03","2017-05-19","2017-07-07",0.023,0.024,3,10,3,""
"794","2004-10-03","2017-05-19","2017-07-07",0.033,0.034,4,10,3,""
"795","3-17-3","2017-05-19","2017-07-07",0.125,0.127,3,17,3,""
"796","4-17-3","2017-05-19","2017-07-07",0.021,0.021,4,17,3,""
"797","3-24-3","2017-05-19","2017-07-07",0.038,0.037,3,24,3,""
"798","4-24-3","2017-05-19","2017-07-07",0.021,0.021,4,24,3,""
"799","3-31-3","2017-05-19","2017-07-07",0.016,0.015,3,31,3,""
"800","4-31-3","2017-05-19","2017-07-07",0.02,0.02,4,31,3,""
"801","3-38-3","2017-05-19","2017-07-07",0.024,0.022,3,38,3,""
"802","4-38-3","2017-05-19","2017-07-07",0.06,0.061,4,38,3,""
"803","2003-03-04","2017-05-19","2017-07-07",0.046,0.048,3,3,4,""
"804","2004-03-04","2017-05-19","2017-07-07",0.019,0.018,4,3,4,""
"805","2003-10-04","2017-05-19","2017-07-07",0.026,0.024,3,10,4,""
"806","2004-10-04","2017-05-19","2017-07-07",0.018,0.021,4,10,4,""
"807","3-17-4","2017-05-19","2017-07-07",0.018,0.018,3,17,4,""
"808","4-17-4","2017-05-19","2017-07-07",0,0,4,17,4,""
"809","3-24-4","2017-05-19","2017-07-07",0.04,0.042,3,24,4,""
"810","4-24-4","2017-05-19","2017-07-07",0.016,0.015,4,24,4,""
"811","3-31-4","2017-05-19","2017-07-07",0.021,0.023,3,31,4,""
"812","4-31-4","2017-05-19","2017-07-07",0.022,0.021,4,31,4,""
"813","3-38-4","2017-05-19","2017-07-07",0.032,0.031,3,38,4,""
"814","4-38-4","2017-05-19","2017-07-07",0.039,0.039,4,38,4,""
"815","2003-03-05","2017-05-19","2017-07-07",0.041,0.044,3,3,5,""
"816","2004-03-05","2017-05-19","2017-07-07",0.015,0.015,4,3,5,""
"817","2003-10-05","2017-05-19","2017-07-07",0.016,0.017,3,10,5,""
"818","2004-10-05","2017-05-19","2017-07-07",0.018,0.017,4,10,5,""
"819","3-17-5","2017-05-19","2017-07-07",0.016,0.017,3,17,5,""
"820","4-17-5","2017-05-19","2017-07-07",0.018,0.018,4,17,5,"low vol"
"821","3-24-5","2017-05-19","2017-07-07",NA,NA,3,24,5,"jenn combined and discarded"
"822","4-24-5","2017-05-19","2017-07-07",NA,NA,4,24,5,"jenn combined and discarded"
"823","3-31-5","2017-05-19","2017-07-07",0.024,0.024,3,31,5,""
"824","4-31-5","2017-05-19","2017-07-07",0.015,0.015,4,31,5,""
"825","3-38-5","2017-05-19","2017-07-07",0.019,0.019,3,38,5,""
"826","4-38-5","2017-05-19","2017-07-07",0.021,0.022,4,38,5,""
"827","2001-03-01","2017-05-23","2017-07-14",0.031,0.029,1,3,1,""
"828","2002-03-01","2017-05-23","2017-07-14",0.041,0.04,2,3,1,""
"829","2003-03-01","2017-05-26","2017-07-14",0.077,0.074,3,3,1,""
"830","2004-03-01","2017-05-26","2017-07-14",0.033,0.032,4,3,1,""
"831","2001-10-01","2017-05-23","2017-07-14",0.019,0.022,1,10,1,""
"832","2002-10-01","2017-05-23","2017-07-14",0.034,0.032,2,10,1,""
"833","2003-10-01","2017-05-26","2017-07-14",0.042,0.044,3,10,1,""
"834","2004-10-01","2017-05-26","2017-07-14",0.03,0.03,4,10,1,""
"835","1-17-1","2017-05-23","2017-07-14",0.026,0.026,1,17,1,""
"836","2-17-1","2017-05-23","2017-07-14",0.019,0.016,2,17,1,""
"837","3-17-1","2017-05-26","2017-07-14",0.029,0.031,3,17,1,""
"838","4-17-1","2017-05-26","2017-07-14",0.032,0.029,4,17,1,""
"839","1-24-1","2017-05-23","2017-07-14",0.047,0.047,1,24,1,""
"840","2-24-1","2017-05-23","2017-07-14",0.05,0.047,2,24,1,""
"841","3-24-1","2017-05-26","2017-07-14",0.029,0.022,3,24,1,""
"842","4-24-1","2017-05-26","2017-07-14",0.026,0.026,4,24,1,""
"843","1-31-1","2017-05-23","2017-07-14",0.073,0.072,1,31,1,""
"844","2-31-1","2017-05-23","2017-07-14",0.083,0.083,2,31,1,""
"845","3-31-1","2017-05-26","2017-07-14",0.049,0.047,3,31,1,""
"846","4-31-1","2017-05-26","2017-07-14",0.049,0.049,4,31,1,""
"847","1-38-1","2017-05-23","2017-07-14",0.04,0.038,1,38,1,""
"848","2-38-1","2017-05-23","2017-07-14",0.044,0.043,2,38,1,""
"849","3-38-1","2017-05-26","2017-07-14",0.034,0.032,3,38,1,""
"850","4-38-1","2017-05-26","2017-07-14",0.033,0.034,4,38,1,""
"851","2001-03-02","2017-05-23","2017-07-14",0.037,0.038,1,3,2,""
"852","2002-03-02","2017-05-23","2017-07-14",0.074,0.076,2,3,2,""
"853","2003-03-02","2017-05-26","2017-07-14",0.068,0.064,3,3,2,""
"854","2004-03-02","2017-05-26","2017-07-14",0.034,0.039,4,3,2,""
"855","2001-10-02","2017-05-23","2017-07-14",0.036,0.034,1,10,2,""
"856","2002-10-02","2017-05-23","2017-07-14",0.024,0.026,2,10,2,""
"857","2003-10-02","2017-05-26","2017-07-14",0.082,0.079,3,10,2,""
"858","2004-10-02","2017-05-26","2017-07-14",0.026,0.024,4,10,2,""
"859","1-17-2","2017-05-23","2017-07-14",0.025,0.025,1,17,2,""
"860","2-17-2","2017-05-23","2017-07-14",0.018,0.024,2,17,2,""
"861","3-17-2","2017-05-26","2017-07-14",0.042,0.042,3,17,2,""
"862","4-17-2","2017-05-26","2017-07-14",0.027,0.025,4,17,2,""
"863","1-24-2","2017-05-23","2017-07-14",0.036,0.034,1,24,2,""
"864","2-24-2","2017-05-23","2017-07-14",0.022,0.022,2,24,2,""
"865","3-24-2","2017-05-26","2017-07-14",0.022,0.027,3,24,2,""
"866","4-24-2","2017-05-26","2017-07-14",0.024,0.024,4,24,2,""
"867","1-31-2","2017-05-23","2017-07-14",0.068,0.064,1,31,2,""
"868","2-31-2","2017-05-23","2017-07-14",0.048,0.051,2,31,2,""
"869","3-31-2","2017-05-26","2017-07-14",0.062,0.061,3,31,2,""
"870","4-31-2","2017-05-26","2017-07-14",0.051,0.049,4,31,2,""
"871","1-38-2","2017-05-23","2017-07-14",0.036,0.035,1,38,2,""
"872","2-38-2","2017-05-23","2017-07-14",0.043,0.04,2,38,2,""
"873","3-38-2","2017-05-26","2017-07-14",0.069,0.067,3,38,2,""
"874","4-38-2","2017-05-26","2017-07-14",0.068,0.067,4,38,2,""
"875","2001-03-03","2017-05-23","2017-07-14",0.043,0.042,1,3,3,""
"876","2002-03-03","2017-05-23","2017-07-14",0.07,0.071,2,3,3,""
"877","2003-03-03","2017-05-26","2017-07-14",0.077,0.073,3,3,3,""
"878","2004-03-03","2017-05-26","2017-07-14",NA,NA,4,3,3,""
"879","2001-10-03","2017-05-23","2017-07-14",0.039,0.04,1,10,3,""
"880","2002-10-03","2017-05-23","2017-07-14",0.041,0.041,2,10,3,""
"881","2003-10-03","2017-05-26","2017-07-14",0.041,0.037,3,10,3,""
"882","2004-10-03","2017-05-26","2017-07-14",0.037,0.039,4,10,3,""
"883","1-17-3","2017-05-23","2017-07-14",0.035,0.033,1,17,3,""
"884","2-17-3","2017-05-23","2017-07-14",0.033,0.031,2,17,3,""
"885","3-17-3","2017-05-26","2017-07-14",0.025,0.025,3,17,3,""
"886","4-17-3","2017-05-26","2017-07-14",0.023,0.021,4,17,3,""
"887","1-24-3","2017-05-23","2017-07-14",0.021,0.038,1,24,3,""
"888","2-24-3","2017-05-23","2017-07-14",0.032,0.034,2,24,3,""
"889","3-24-3","2017-05-26","2017-07-14",0.032,0.038,3,24,3,""
"890","4-24-3","2017-05-26","2017-07-14",0.038,0.036,4,24,3,""
"891","1-31-3","2017-05-23","2017-07-14",0.075,0.073,1,31,3,""
"892","2-31-3","2017-05-23","2017-07-14",0.041,0.044,2,31,3,""
"893","3-31-3","2017-05-26","2017-07-14",0.049,0.054,3,31,3,""
"894","4-31-3","2017-05-26","2017-07-14",0.036,0.039,4,31,3,"0.5ml"
"895","1-38-3","2017-05-23","2017-07-14",0.038,0.034,1,38,3,""
"896","2-38-3","2017-05-23","2017-07-14",0.042,0.039,2,38,3,""
"897","3-38-3","2017-05-26","2017-07-14",0.042,0.038,3,38,3,""
"898","4-38-3","2017-05-26","2017-07-14",0.065,0.058,4,38,3,""
"899","2001-03-04","2017-05-23","2017-07-14",0.028,0.031,1,3,4,""
"900","2002-03-04","2017-05-23","2017-07-14",0.073,0.073,2,3,4,""
"901","2003-03-04","2017-05-26","2017-07-14",0.12,0.119,3,3,4,""
"902","2004-03-04","2017-05-26","2017-07-14",0.027,0.022,4,3,4,""
"903","2001-10-04","2017-05-23","2017-07-14",0.044,0.045,1,10,4,""
"904","2002-10-04","2017-05-23","2017-07-14",0.052,0.053,2,10,4,""
"905","2003-10-04","2017-05-26","2017-07-14",0.032,0.022,3,10,4,""
"906","2004-10-04","2017-05-26","2017-07-14",0.036,0.032,4,10,4,""
"907","1-17-4","2017-05-23","2017-07-14",0.074,0.072,1,17,4,""
"908","2-17-4","2017-05-23","2017-07-14",0.033,0.032,2,17,4,""
"909","3-17-4","2017-05-26","2017-07-14",0.053,0.048,3,17,4,""
"910","4-17-4","2017-05-26","2017-07-14",0.034,0.03,4,17,4,""
"911","1-24-4","2017-05-23","2017-07-14",0.054,0.056,1,24,4,""
"912","2-24-4","2017-05-23","2017-07-14",0.044,0.039,2,24,4,""
"913","3-24-4","2017-05-26","2017-07-14",0.027,0.027,3,24,4,""
"914","4-24-4","2017-05-26","2017-07-14",0.027,0.027,4,24,4,""
"915","1-31-4","2017-05-23","2017-07-14",0.06,0.061,1,31,4,""
"916","2-31-4","2017-05-23","2017-07-14",0.04,0.043,2,31,4,""
"917","3-31-4","2017-05-26","2017-07-14",0.041,0.044,3,31,4,""
"918","4-31-4","2017-05-26","2017-07-14",0.033,0.031,4,31,4,""
"919","1-38-4","2017-05-23","2017-07-14",0.047,0.044,1,38,4,""
"920","2-38-4","2017-05-23","2017-07-14",0.033,0.031,2,38,4,""
"921","3-38-4","2017-05-26","2017-07-14",0.056,0.058,3,38,4,""
"922","4-38-4","2017-05-26","2017-07-14",0.037,0.037,4,38,4,""
"923","2001-03-05","2017-05-23","2017-07-14",0.036,0.036,1,3,5,""
"924","2002-03-05","2017-05-23","2017-07-14",0.056,0.052,2,3,5,""
"925","2003-03-05","2017-05-26","2017-07-14",0.086,0.083,3,3,5,""
"926","2004-03-05","2017-05-26","2017-07-14",0.051,0.051,4,3,5,""
"927","2001-10-05","2017-05-23","2017-07-14",0.042,0.044,1,10,5,""
"928","2002-10-05","2017-05-23","2017-07-14",0.022,0.021,2,10,5,""
"929","2003-10-05","2017-05-26","2017-07-14",0.015,0.014,3,10,5,""
"930","2004-10-05","2017-05-26","2017-07-14",0.032,0.032,4,10,5,""
"931","1-17-5","2017-05-23","2017-07-14",0.033,0.032,1,17,5,""
"932","2-17-5","2017-05-23","2017-07-14",0.045,0.043,2,17,5,""
"933","3-17-5","2017-05-26","2017-07-14",0.052,0.046,3,17,5,""
"934","4-17-5","2017-05-26","2017-07-14",0.031,0.033,4,17,5,""
"935","1-24-5","2017-05-23","2017-07-14",0.061,0.06,1,24,5,""
"936","2-24-5","2017-05-23","2017-07-14",0.072,0.069,2,24,5,"0.5ml"
"937","3-24-5","2017-05-26","2017-07-14",0.039,0.037,3,24,5,""
"938","4-24-5","2017-05-26","2017-07-14",0.035,0.028,4,24,5,""
"939","1-31-5","2017-05-23","2017-07-14",0.074,0.073,1,31,5,""
"940","2-31-5","2017-05-23","2017-07-14",0.03,0.031,2,31,5,""
"941","3-31-5","2017-05-26","2017-07-14",0.047,0.046,3,31,5,""
"942","4-31-5","2017-05-26","2017-07-14",0.031,0.031,4,31,5,""
"943","1-38-5","2017-05-23","2017-07-14",0.018,0.027,1,38,5,""
"944","2-38-5","2017-05-23","2017-07-14",0.019,0.026,2,38,5,""
"945","3-38-5","2017-05-26","2017-07-14",0.033,0.032,3,38,5,""
"946","4-38-5","2017-05-26","2017-07-14",0.06,0.06,4,38,5,""
"947","2001-03-01","2017-06-15","2017-07-14",0.025,0.02,1,3,1,""
"948","2001-03-02","2017-06-15","2017-07-14",0.02,0.019,1,3,2,""
"949","2001-03-03","2017-06-15","2017-07-14",0.023,0.022,1,3,3,""
"950","2001-03-04","2017-06-15","2017-07-14",0.027,0.031,1,3,4,""
"951","2001-03-05","2017-06-15","2017-07-14",0.038,0.036,1,3,5,""
"952","2001-03-01","2017-06-15","2017-07-14",0.023,0.022,4,3,1,""
"953","2002-03-02","2017-06-15","2017-07-14",0.029,0.029,4,3,2,""
"954","2002-03-03","2017-06-15","2017-07-14",0.025,0.02,4,3,3,""
"955","2002-03-04","2017-06-15","2017-07-14",0.025,0.022,4,3,4,""
"956","2002-03-05","2017-06-15","2017-07-14",0.022,0.021,4,3,5,""
"957","Blank",NA,"2017-07-12",0,-0.003,NA,NA,NA,""
"958","2-10-1","2017-06-06","2017-07-12",0.065,0.065,2,10,1,""
"959","2-10-2","2017-06-06","2017-07-12",0.033,0.035,2,10,2,""
"960","2-10-3","2017-06-06","2017-07-12",0.046,0.046,2,10,3,""
"961","2-10-5","2017-06-06","2017-07-12",0.041,0.042,2,10,5,""
"962","1-03-1","2017-06-06","2017-07-12",0.052,0.054,1,3,1,""
"963","1-03-2","2017-06-06","2017-07-12",0.038,0.036,1,3,2,""
"964","1-03-3","2017-06-06","2017-07-12",0.038,0.04,1,3,3,""
"965","1-03-5","2017-06-06","2017-07-12",0.025,0.027,1,3,5,""
"966","3-17-1","2017-06-02","2017-07-12",0.032,0.032,3,17,1,""
"967","3-17-2","2017-06-02","2017-07-12",0.033,0.032,3,17,2,""
"968","3-17-3","2017-06-02","2017-07-12",0.029,0.029,3,17,3,""
"969","3-17-4","2017-06-02","2017-07-12",0.03,0.032,3,17,4,""
"970","3-17-5","2017-06-02","2017-07-12",0.034,0.034,3,17,5,""
"971","4-03-1","2017-06-02","2017-07-12",0.051,0.048,4,3,1,""
"972","4-03-2","2017-06-02","2017-07-12",0.03,0.031,4,3,2,""
"973","4-03-4","2017-06-02","2017-07-12",0.073,0.064,4,3,4,""
"974","4-03-5","2017-06-02","2017-07-12",0.048,0.05,4,3,5,""
"975","4-03-1","2017-06-08","2017-07-12",0.103,0.103,4,3,1,""
"976","4-03-3","2017-06-08","2017-07-12",0.058,0.058,4,3,3,""
"977","4-03-4","2017-06-08","2017-07-12",0.111,0.104,4,3,4,""
"978","4-03-5","2017-06-08","2017-07-12",0.02,0.027,4,3,5,""
"979","1-03-1","2017-06-13","2017-07-12",0.036,0.034,1,3,1,""
"980","1-03-2","2017-06-13","2017-07-12",0.033,0.034,1,3,2,""
"981","1-03-3","2017-06-13","2017-07-12",0.062,0.064,1,3,3,""
"982","1-03-4","2017-06-13","2017-07-12",0.046,0.044,1,3,4,""
"983","1-03-5","2017-06-13","2017-07-12",0.05,0.047,1,3,5,""
"984","2-10-3","2017-05-30","2017-07-12",0.03,0.03,2,10,3,""
"985","1-03-1","2017-05-30","2017-07-12",0.064,0.06,1,3,1,""
"986","1-03-2","2017-05-30","2017-07-12",0.023,0.022,1,3,2,""
"987","1-03-3","2017-05-30","2017-07-12",0.023,0.022,1,3,3,""
"988","1-03-4","2017-05-30","2017-07-12",0.035,0.033,1,3,4,"480ul"
"989","4-03-3","2017-05-30","2017-07-12",0.037,0.035,4,3,3,"600ul"
"990","4-03-2","2017-05-30","2017-07-12",0.029,0.033,4,3,2,"650ul"
"991","2-10-1","2017-05-30","2017-07-12",0.032,0.035,2,10,1,"700ul"
"992","2-10-2","2017-05-30","2017-07-12",0.02,0.02,2,10,2,"700ul"
"993","2-10-4","2017-06-08","2017-07-12",NA,NA,2,10,4,"missing"
"994","2-10-5","2017-06-02","2017-07-12",0.023,0.022,2,10,5,"700ul"
"995","1-03-4","2017-05-30","2017-07-12",0.036,0.036,1,3,4,"500ul"
"996","1-03-5","2017-05-30","2017-07-12",0.047,0.045,1,3,5,"700ul"
"997","","","",NA,NA,NA,NA,NA,""
"998","","","",NA,NA,NA,NA,NA,""
"999","","","",NA,NA,NA,NA,NA,""
"1000","","","",NA,NA,NA,NA,NA,""
"1001","","","",NA,NA,NA,NA,NA,""
"1002","","","",NA,NA,NA,NA,NA,""
"1003","","","",NA,NA,NA,NA,NA,""
"1004","","","",NA,NA,NA,NA,NA,""
"1005","","","",NA,NA,NA,NA,NA,""
"1006","","","",NA,NA,NA,NA,NA,""
"1007","","","",NA,NA,NA,NA,NA,""
"1008","","","",NA,NA,NA,NA,NA,""
"1009","","","",NA,NA,NA,NA,NA,""
"1010","","","",NA,NA,NA,NA,NA,""
"1011","","","",NA,NA,NA,NA,NA,""
"1012","","","",NA,NA,NA,NA,NA,""
"1013","","","",NA,NA,NA,NA,NA,""
"1014","","","",NA,NA,NA,NA,NA,""
"1015","","","",NA,NA,NA,NA,NA,""
