"","sample","date.sampled","date.measured","absorbance.1","absorbance.2","species","temp","rep","notes"
"175","3-38-1","2017-04-21","2017-06-28",0.024,0.025,3,38,1,NA
"176","4-38-1","2017-04-21","2017-06-28",0.019,0.021,4,38,1,NA
"177","1-03-2","2017-04-18","2017-06-28",0.063,0.063,1,3,2,NA
"178","2-03-2","2017-04-18","2017-06-28",0.053,0.055,2,3,2,NA
"179","3-03-2","2017-04-21","2017-06-28",0.082,0.082,3,3,2,NA
"180","4-03-2","2017-04-21","2017-06-28",0.04,0.044,4,3,2,NA
"181","1-10-2","2017-04-18","2017-06-28",0.063,0.067,1,10,2,NA
"182","2-10-2","2017-04-18","2017-06-28",0.028,0.029,2,10,2,NA
"183","3-10-2","2017-04-21","2017-06-28",0.044,0.048,3,10,2,NA
"184","4-10-2","2017-04-21","2017-06-28",0.018,0.018,4,10,2,NA
"185","1-17-2","2017-04-18","2017-06-28",0.019,0.019,1,17,2,NA
"186","2-17-2","2017-04-18","2017-06-28",0.054,0.057,2,17,2,NA
"187","3-17-2","2017-04-21","2017-06-28",0.041,0.043,3,17,2,NA
"188","4-17-2","2017-04-21","2017-06-28",0.024,0.024,4,17,2,NA
"189","1-24-2","2017-04-18","2017-06-28",0.037,0.038,1,24,2,NA
"190","2-24-2","2017-04-18","2017-06-28",0.02,0.022,2,24,2,NA
"191","3-24-2","2017-04-21","2017-06-28",NA,0,3,24,2,NA
"192","4-24-2","2017-04-21","2017-06-28",0.017,0.02,4,24,2,NA
"193","1-31-2","2017-04-18","2017-06-28",0.062,0.063,1,31,2,NA
"194","2-31-2","2017-04-18","2017-06-28",0.159,0.159,2,31,2,NA
"195","3-31-2","2017-04-21","2017-06-28",0.042,0.043,3,31,2,NA
"196","4-31-2","2017-04-21","2017-06-28",0.034,0.034,4,31,2,NA
"197","1-38-2","2017-04-18","2017-06-28",0.049,0.051,1,38,2,NA
"198","2-38-2","2017-04-18","2017-06-28",0.034,0.031,2,38,2,NA
"199","3-38-2","2017-04-21","2017-06-28",0.047,0.045,3,38,2,NA
"200","4-38-2","2017-04-21","2017-06-28",0.055,0.058,4,38,2,NA
"201","1-03-3","2017-04-18","2017-06-28",0.076,0.051,1,3,3,NA
"202","2-03-3","2017-04-18","2017-06-28",0.06,0.059,2,3,3,NA
"203","3-03-3","2017-04-21","2017-06-28",0.054,0.054,3,3,3,NA
"204","4-03-3","2017-04-21","2017-06-28",0.049,0.048,4,3,3,NA
"205","1-10-3","2017-04-18","2017-06-28",0.066,0.062,1,10,3,NA
"206","2-10-3","2017-04-18","2017-06-28",0.041,0.036,2,10,3,NA
"207","3-10-3","2017-04-21","2017-06-28",0.044,0.04,3,10,3,NA
"208","4-10-3","2017-04-21","2017-06-28",0.014,0.012,4,10,3,NA
"209","1-17-3","2017-04-18","2017-06-28",0.022,0.019,1,17,3,NA
"210","2-17-3","2017-04-18","2017-06-28",0,0,2,17,3,NA
"211","3-17-3","2017-04-21","2017-06-28",0.012,0.009,3,17,3,NA
"212","4-17-3","2017-04-21","2017-06-28",0,0,4,17,3,NA
"213","1-24-3","2017-04-18","2017-06-28",0.014,0.01,1,24,3,NA
"214","2-24-3","2017-04-18","2017-06-28",0.128,0.122,2,24,3,NA
"215","3-24-3","2017-04-21","2017-06-28",0.014,0.015,3,24,3,NA
"216","4-24-3","2017-04-21","2017-06-28",0.03,0.032,4,24,3,NA
"217","1-31-3","2017-04-18","2017-06-28",0.039,0.034,1,31,3,NA
"218","2-31-3","2017-04-18","2017-06-28",0.025,0.029,2,31,3,NA
"219","3-31-3","2017-04-21","2017-06-28",0.027,0.024,3,31,3,NA
"220","4-31-3","2017-04-21","2017-06-28",0.023,0.025,4,31,3,NA
"221","1-38-3","2017-04-18","2017-06-28",0.026,0.023,1,38,3,NA
"222","2-38-3","2017-04-18","2017-06-28",0.016,0.018,2,38,3,NA
"223","3-38-3","2017-04-21","2017-06-28",0.026,0.023,3,38,3,NA
"224","4-38-3","2017-04-21","2017-06-28",0.041,0.045,4,38,3,NA
"225","1-03-4","2017-04-18","2017-06-28",0.053,0.051,1,3,4,NA
"226","2-03-4","2017-04-18","2017-06-28",0.061,0.061,2,3,4,NA
"227","3-03-4","2017-04-21","2017-06-28",0.056,0.058,3,3,4,NA
"228","4-03-4","2017-04-21","2017-06-28",0.067,0.064,4,3,4,NA
"229","1-10-4","2017-04-18","2017-06-28",0.03,0.033,1,10,4,NA
"230","2-10-4","2017-04-18","2017-06-28",0.025,0.027,2,10,4,NA
"231","3-10-4","2017-04-21","2017-06-28",0.011,0.008,3,10,4,NA
"232","4-10-4","2017-04-21","2017-06-28",0.008,0.008,4,10,4,NA
"233","1-17-4","2017-04-18","2017-06-28",0.032,0.028,1,17,4,NA
"234","2-17-4","2017-04-18","2017-06-28",0.028,0.025,2,17,4,NA
"235","3-17-4","2017-04-21","2017-06-28",0.019,0.018,3,17,4,NA
"236","4-17-4","2017-04-21","2017-06-28",0.017,0.017,4,17,4,NA
"237","1-24-4","2017-04-18","2017-06-28",0.022,0.021,1,24,4,NA
"238","2-24-4","2017-04-18","2017-06-28",0.285,0.286,2,24,4,NA
"239","3-24-4","2017-04-21","2017-06-28",0.01,0.013,3,24,4,NA
"240","4-24-4","2017-04-21","2017-06-28",0,0,4,24,4,NA
"241","1-31-4","2017-04-18","2017-06-28",0,0,1,31,4,NA
"242","2-31-4","2017-04-18","2017-06-28",0.047,0.046,2,31,4,NA
"243","3-31-4","2017-04-21","2017-06-28",0.034,0.034,3,31,4,NA
"244","4-31-4","2017-04-21","2017-06-28",0.016,0.018,4,31,4,NA
"245","1-38-4","2017-04-18","2017-06-28",0.126,0.126,1,38,4,NA
"246","2-38-4","2017-04-18","2017-06-28",0.038,0.038,2,38,4,NA
"247","3-38-4","2017-04-21","2017-06-28",0.044,0.045,3,38,4,NA
"248","4-38-4","2017-04-21","2017-06-28",0.077,0.077,4,38,4,NA
"249","1-03-5","2017-04-18","2017-06-28",0.069,0.073,1,3,5,NA
"250","2-03-5","2017-04-18","2017-06-28",0.054,0.055,2,3,5,NA
"251","3-03-5","2017-04-21","2017-06-28",0.038,0.036,3,3,5,NA
"252","4-03-5","2017-04-21","2017-06-28",0.02,0.022,4,3,5,NA
"253","1-10-5","2017-04-18","2017-06-28",0.02,0.022,1,10,5,NA
"254","2-10-5","2017-04-18","2017-06-28",0.041,0.043,2,10,5,NA
"255","3-10-5","2017-04-21","2017-06-28",0.047,0.043,3,10,5,NA
"256","4-10-5","2017-04-21","2017-06-28",0.015,0.013,4,10,5,NA
"257","1-17-5","2017-04-18","2017-06-28",0.013,0.006,1,17,5,NA
"258","2-17-5","2017-04-18","2017-06-28",0,0,2,17,5,NA
"259","3-17-5","2017-04-21","2017-06-28",0.029,0.022,3,17,5,NA
"260","4-17-5","2017-04-21","2017-06-28",0.019,0.016,4,17,5,NA
