"","r","K","temp","species","rep","Species"
"56",-2.92618862651469,1.85454637852307,17,4,1,"CH"
"57",-0.135329235257206,2.39955182673011,17,4,2,"CH"
"58",-2.61601947692061,1.97151593872907,17,4,3,"CH"
"59",-0.0684143725391261,1.5908995938766,17,4,4,"CH"
"60",-0.681417305199859,2.36113462345799,17,4,5,"CH"
"61",-0.180547088716501,2.3547460874994,24,1,1,"TT"
"62",-2.83648920408848,3.18999138704982,24,1,2,"TT"
"63",-0.479243257282682,2.66606580416817,24,1,3,"TT"
"64",-2.54582978797777,2.83583645429147,24,1,4,"TT"
"65",-2.93403777902843,2.50472164202235,24,1,5,"TT"
"66",-2.930241629428,2.30490387857416,24,2,1,"CS"
"67",-0.06,2.49954967975027,24,2,2,"CS"
"68",-0.06,2.29523537976607,24,2,3,"CS"
"69",-1.33336149931788,2.37060644206944,24,2,4,"CS"
"70",-2.80289588560147,3.44754962331827,24,2,5,"CS"
"71",-2.94245556365616,1.98739887652094,24,3,1,"AC"
"72",-1,2.6882434165926,24,3,2,"AC"
"73",-2.95151176322065,2.44325155559015,24,3,3,"AC"
"74",-2.59098065294221,2.40144719721932,24,3,4,"AC"
"75",-2.63155151489311,3.4468054881813,24,3,5,"AC"
"76",-2.95677584815743,2.16517436941671,24,4,1,"CH"
"77",-0.582576814074247,2.41624041096504,24,4,2,"CH"
"78",-0.06,2.09622191366359,24,4,3,"CH"
"79",-3.00527271521801,1.83850658710035,24,4,4,"CH"
"80",-2.61079990936018,2.43074143101929,24,4,5,"CH"
"81",-2.82206886353884,3.56928819862694,31,1,1,"TT"
"82",-0.06,4.7941123214888,31,1,2,"TT"
"83",-2.26225397589064,4.18965016356839,31,1,3,"TT"
"84",-1.91961835561779,2.79142029318841,31,1,4,"TT"
"85",-2.55185494173052,3.41958717640032,31,1,5,"TT"
"86",-2.59022552385982,2.90407836630831,31,2,1,"CS"
"87",-0.06,3.29220853845231,31,2,2,"CS"
"88",-2.82324777031474,3.30919194800855,31,2,3,"CS"
"89",-0.0733507130982486,2.96031633061814,31,2,4,"CS"
"90",-0.529514741050722,3.00133335609881,31,2,5,"CS"
"91",-2.93349214059033,2.69263819351789,31,3,1,"AC"
"92",-0.07,3.4560593265854,31,3,2,"AC"
"93",-0.07,3.07873669997329,31,3,3,"AC"
"94",-0.07,3.00116729789351,31,3,4,"AC"
"95",-0.07,3.15386775720658,31,3,5,"AC"
"96",-2.62957031815746,2.22478427444576,31,4,1,"CH"
"97",-0.07,3.54165085207921,31,4,2,"CH"
"98",-2.8688361010133,3.12463057435539,31,4,3,"CH"
"99",-0.121359094826379,2.08507025322971,31,4,4,"CH"
"100",-0.07,2.69240589532352,31,4,5,"CH"
"101",-3.99787613760462,4.58690716856359,38,1,1,"TT"
"102",-2.38215887741345,4.26354313375988,38,1,2,"TT"
"103",-1,4.07626612393041,38,1,3,"TT"
"104",-1,3.73750526207662,38,1,4,"TT"
"105",-1,3.02247718566504,38,1,5,"TT"
"106",-1,3.10859240079579,38,2,1,"CS"
"107",-1,3.19232897004956,38,2,2,"CS"
"108",-2.56153359107366,2.98841318017481,38,2,3,"CS"
"109",-1,2.9214820371517,38,2,4,"CS"
"110",-2.63132239917989,2.15732480162097,38,2,5,"CS"
"111",-1,2.4148105316023,38,3,1,"AC"
"112",-1,3.87013089206883,38,3,2,"AC"
"113",-1,2.69507164585444,38,3,3,"AC"
"114",-1,3.81410423158981,38,3,4,"AC"
"115",-2.93691540430873,2.81680935310634,38,3,5,"AC"
"116",-1.00000000000001,2.6649827248369,38,4,1,"CH"
"117",1,5.41403293645658,38,4,2,"CH"
"118",1,4.56448160037308,38,4,3,"CH"
"119",4.99996642473899,4.72675495073005,38,4,4,"CH"
"120",-2.59935295111994,2.77808671783436,38,4,5,"CH"
