N,Temp,Species,a,b,z,w,ks_a,ks_b,tn,r_pred
330,3.5,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12779878156436286
0,3.6,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.11933561921094855
11,3.6,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12757418418693764
22,3.6,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12843485574699448
33,3.6,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.1287631494562071
55,3.6,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12904334757073124
110,3.6,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.1292646756509209
220,3.6,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.129379167902236
440,3.6,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12943740993000222
330,3.6,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12941792101164368
0,3.7,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12073662339321847
11,3.7,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.1291674506796239
22,3.7,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.13004892773484933
33,3.7,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.1303851933934871
55,3.7,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.13067221124605902
110,3.7,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.13089893644491069
220,3.7,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.131016224146424
440,3.7,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.13107588914142929
330,3.7,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.13105592400095348
0,3.8,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.12215134520923572
11,3.8,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.13077871169764782
22,3.8,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.13168148305597455
33,3.8,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.13202590927320978
55,3.8,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.1323199087888315
110,3.8,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.132552159629099
220,3.8,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.13267230947981984
440,3.8,AC,0.09468187780869898,0.14594794023676333,-20,107.92584734205082,1.1226566603803967,-17.45169566405458,2.3650503021128335,0.13273343142797556
