"","X1","r","k","species","rep","temp","Species"
"38",38,0.425893132975742,20985.5536572903,4,3,10,"CH"
"39",39,0.198939271457451,27116.942658113,4,4,10,"CH"
"40",40,0.2304493607556,29402.8856072935,4,5,10,"CH"
"41",41,0.40645229584203,20258.390590427,1,1,17,"TT"
"42",42,0.513705353011172,22432.2361817035,1,2,17,"TT"
"43",43,0.342833329276604,23875.4356753835,1,3,17,"TT"
"44",44,0.429027399677642,24852.4256979906,1,4,17,"TT"
"45",45,0.527253447233753,23995.1419506849,1,5,17,"TT"
"46",46,0.298800310743476,11683.7945529078,2,1,17,"CS"
"47",47,1.2478710911984,11378.1750086637,2,2,17,"CS"
"48",48,1.3521642996673,10205.3084437129,2,3,17,"CS"
"49",49,1.50640648294261,8987.98083980276,2,4,17,"CS"
"50",50,1.48739073004358,10864.6480441672,2,5,17,"CS"
"51",51,0.16650845057084,12740.3821721844,3,1,17,"AC"
"52",52,0.411886928486227,11711.9061312791,3,2,17,"AC"
"53",53,0.152530082583759,15230.3536456101,3,3,17,"AC"
"54",54,0.240140112770667,11437.5664518146,3,4,17,"AC"
"55",55,0.165976056852586,14582.992583427,3,5,17,"AC"
"56",56,0.503354820213554,30666.8023698307,4,1,17,"CH"
"57",57,0.611230051311168,29123.6729440396,4,2,17,"CH"
"58",58,0.665969954698137,28411.9990514115,4,3,17,"CH"
"59",59,0.682904555918594,30829.5883182797,4,4,17,"CH"
"60",60,0.529608755216703,31682.4148912354,4,5,17,"CH"
"61",61,1.2484719507659,18402.7750581552,1,1,24,"TT"
"62",62,1.11718744642271,20481.1024141766,1,2,24,"TT"
"63",63,1.19447735919049,18731.4489578623,1,3,24,"TT"
"64",64,1.32018190405645,17444.6520184486,1,5,24,"TT"
"65",65,2,5412.07702897375,2,1,24,"CS"
"66",66,1.46922409885474,6364.42363935771,2,2,24,"CS"
"67",67,2,6496.92255822849,2,3,24,"CS"
"68",68,2,4849.19032312411,2,4,24,"CS"
"69",69,1.13715746852337,5312.82087146808,2,5,24,"CS"
"70",70,0.751605477607036,6720.62895198659,3,1,24,"AC"
"71",71,0.18683762958179,9309.54470291352,3,2,24,"AC"
"72",72,0.311444798580216,7444.26358820279,3,3,24,"AC"
"73",73,0.374213177537995,7594.22172279765,3,4,24,"AC"
"74",74,0.205690705114169,8329.29948191868,3,5,24,"AC"
"75",75,1.55050909928301,25076.3269103953,4,1,24,"CH"
"76",76,1.49350166726216,25419.2982513055,4,2,24,"CH"
"77",77,1.4934791484051,24128.094786517,4,3,24,"CH"
"78",78,1.26448841192239,24815.6195917153,4,4,24,"CH"
"79",79,1.48663614071544,26202.2468723475,4,5,24,"CH"
"80",80,-0.104614138676331,862.497200706532,1,1,31,"TT"
"81",81,-0.06,843.988845243644,1,2,31,"TT"
"82",82,-0.18891221708476,591.421915318029,1,3,31,"TT"
"83",83,-0.06,1061.3794708999,1,4,31,"TT"
"84",84,-0.06,896.554309133968,1,5,31,"TT"
"85",85,-0.4,121.729533675215,2,1,31,"CS"
"86",86,-0.178814218796775,195.539649199627,2,2,31,"CS"
"87",87,-0.0322796148027359,93.5482779892754,2,3,31,"CS"
"88",88,-0.0156070216993233,50,2,4,31,"CS"
"89",89,-0.0138833150734242,50,2,5,31,"CS"
"90",90,-0.114315689479807,356.575595371482,3,1,31,"AC"
"91",91,-0.5,486.729611105411,3,2,31,"AC"
"92",92,-0.5,373.75253639334,3,3,31,"AC"
"93",93,-0.5,958.435637408038,3,4,31,"AC"
"94",94,-0.5,197.991169413406,3,5,31,"AC"
"95",95,1,3000,4,1,31,"CH"
"96",96,0.987419920246404,2428.18221864789,4,2,31,"CH"
"97",97,0.905391687772204,3000,4,3,31,"CH"
"98",98,0.06,1420.62129382525,4,4,31,"CH"
"99",99,0.804868049302094,1800.62869218598,4,5,31,"CH"
"100",100,-0.67189386578399,653.367713588599,1,1,38,"TT"
"101",101,-0.525433978614854,503.591871442997,1,2,38,"TT"
"102",102,-0.01,55.0438371869163,1,3,38,"TT"
"103",103,-0.124948056125701,264.539171502289,1,4,38,"TT"
"104",104,-0.0929990719167977,388.331802440404,1,5,38,"TT"
"105",105,-1,181.629214893794,2,1,38,"CS"
"106",106,-1,200.506307956266,2,2,38,"CS"
"107",107,-1,269.383983909614,2,3,38,"CS"
"108",108,-0.0732933133822135,72.4514760648333,2,4,38,"CS"
"109",109,-1,535.348345909398,2,5,38,"CS"
"110",110,-1,182.212194657089,3,1,38,"AC"
"111",111,-1,673.110002513552,3,2,38,"AC"
"112",112,-0.909616180124559,506.896684548339,3,3,38,"AC"
"113",113,-1,602.075750887131,3,4,38,"AC"
"114",114,-0.0118057291760612,100,3,5,38,"AC"
"115",115,-0.177226072650456,106.509842834313,4,1,38,"CH"
"116",116,-0.06,349.9085055896,4,2,38,"CH"
"117",117,-0.330019197947033,146.00753457562,4,3,38,"CH"
"118",118,-0.06,625.471724222345,4,4,38,"CH"
"119",119,-0.0882738415433783,109.999802370934,4,5,38,"CH"
