DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc,day,log.Particles.per.ml
0,22,440,16,27,269,5.45,0.22708333333333333,5.598421958998375
0,25,0,13,23,313,2.383333333,0.09930555554166666,5.749392985908253
0,25,11,16,32,180,5.533333333,0.23055555554166665,5.198497031265826
0,25,22,16,34,574,5.566666667,0.23194444445833332,6.354370040797351
0,25,33,16,36,455,5.6,0.2333333333333333,6.1224928095143865
0,25,55,16,39,772,5.65,0.2354166666666667,6.650279048587422
0,25,110,16,41,404,5.683333333,0.23680555554166668,6.003887067106539
0,25,220,16,43,246,5.716666667,0.23819444445833335,5.5093883366279774
0,25,330,16,45,279,5.75,0.23958333333333334,5.634789603169249
0,25,440,16,47,309,5.783333333,0.24097222220833334,5.736572297479192
0,28,0,13,21,1068,2.35,0.09791666666666667,6.974478911025045
0,28,11,13,34,188,2.566666667,0.10694444445833333,5.241747015059643
0,28,22,13,36,626,2.6,0.10833333333333334,6.440946540632921
0,28,33,13,38,314,2.633333333,0.10972222220833333,5.752572638825633
0,28,55,13,40,912,2.666666667,0.111111111125,6.816735880594968
0,28,110,13,43,187,2.716666667,0.11319444445833333,5.236441962829949
0,28,220,13,45,503,2.75,0.11458333333333333,6.222576268071369
0,28,330,13,48,215,2.8,0.11666666666666665,5.375278407684165
0,28,440,13,51,282,2.85,0.11875000000000001,5.645446897643238
1,22,0,11,15,2662,24.25,1.0104166666666667,7.887208585813932
1,22,11,11,22,6792,24.36666667,1.0152777779166666,8.823647949191303
1,22,22,11,25,3229,24.41666667,1.01736111125,8.080237416216702
1,22,33,11,27,3533,24.45,1.01875,8.170185652879642
1,22,55,11,29,5079,24.48333333,1.02013888875,8.533066540572527
1,22,110,11,31,4182,24.51666667,1.0215277779166667,8.338783971442199
1,22,220,11,33,4021,24.55,1.0229166666666667,8.299534570332597
1,22,330,11,35,5476,24.58333333,1.0243055554166667,8.608312784783722
1,22,440,11,38,4627,24.63333333,1.02638888875,8.439880088313567
1,25,0,11,18,4719,24.3,1.0125,8.459564078579602
1,25,11,11,46,425,24.76666667,1.0319444445833332,6.054439346269371
1,25,22,11,48,1213,24.8,1.0333333333333334,7.101675971619444
1,25,33,11,51,1364,24.85,1.0354166666666667,7.21890970761906
1,25,55,11,53,4332,24.88333333,1.0368055554166666,8.374015421739909
