Temperature,run,Species,rstar
22,28,TT,0.45824498032325606
22,29,TT,0.3176978685223169
22,30,TT,0.28568582596088404
22,31,TT,0.41500248452560895
22,32,TT,0.30329256000937715
22,33,TT,0.26982763745934224
22,34,TT,0.34833163355962776
22,35,TT,0.2285208039741571
22,36,TT,0.19211620771172536
22,37,TT,0.3695439134674978
22,38,TT,0.2853727934738657
22,39,TT,0.3023732338590445
22,40,TT,0.31087256102470034
22,41,TT,0.39663227361633713
22,42,TT,0.2912974677299841
22,43,TT,0.2925331211535016
22,44,TT,0.41709406011157124
22,45,TT,0.2922346913117411
22,46,TT,0.3003591239330637
22,47,TT,0.4049309266930113
22,48,TT,0.27282237802109977
22,49,TT,0.4438616006555827
22,50,TT,0.30911476088558126
22,51,TT,0.2981705552705578
22,52,TT,0.31975997798654193
22,53,TT,0.3274638376108559
22,54,TT,0.29541051627386206
22,55,TT,0.32234342849602204
22,56,TT,0.22147259245586806
22,57,TT,0.2951694232980229
22,58,TT,0.2830415331083572
22,59,TT,0.2781175063812147
22,60,TT,0.282350052816804
22,61,TT,0.24670126088476652
22,62,TT,0.2789442868122148
22,63,TT,0.2416381888012151
22,64,TT,0.3167176988105444
22,65,TT,0.2618471838662135
22,66,TT,0.3164646207605578
22,67,TT,0.290084594646764
22,68,TT,0.29068708792425535
22,69,TT,0.2887218821296178
22,70,TT,0.3705808890514468
22,71,TT,0.29595872885789387
22,72,TT,0.2774352036315035
22,73,TT,0.29498766501252016
22,74,TT,0.32275437301853177
22,75,TT,0.29193131618126505
22,76,TT,0.3093766664481003
22,77,TT,0.39360110191239994
22,78,TT,0.35891825206277855
22,79,TT,0.26123705932557556
22,80,TT,0.2946523007418969
22,81,TT,0.2940825173852669
22,82,TT,0.2644788148531323
22,83,TT,0.3063317089346996
22,84,TT,0.23467525961148317
22,85,TT,0.30946722348774536
22,86,TT,0.2984557907049437
22,87,TT,0.24056300957177953
22,88,TT,0.2770542103321484
22,89,TT,0.2949225479810682
22,90,TT,0.19763077892962763
22,91,TT,0.3326446646714897
22,92,TT,0.29661789216476714
22,93,TT,0.2209765534927951
22,94,TT,0.3176191555926982
22,95,TT,0.2999848305807957
22,96,TT,0.2952832614153049
22,97,TT,0.2932375406910477
22,98,TT,0.2807963951926168
22,99,TT,0.28594066532302637
22,100,TT,0.42376327221288645
25,1,TT,0.64672227806083
25,2,TT,0.7010679717909687
25,3,TT,0.6498611283188904
25,4,TT,0.6205614428413502
25,5,TT,0.6458458912613247
25,6,TT,0.4807877067206591
25,7,TT,0.5768367646428619
25,8,TT,0.6061743818015101
25,9,TT,0.613984757342105
25,10,TT,0.618848445855315
25,11,TT,0.6691714458887195
25,12,TT,0.5497179884266168
25,13,TT,0.5343466072984143
25,14,TT,0.6181447646742888
25,15,TT,0.5784320198403894
25,16,TT,0.5279953053441373
25,17,TT,0.4784822365992278
25,18,TT,0.4370863358470385
25,19,TT,0.6190685897278161
25,20,TT,0.5463579491820161
25,21,TT,0.5528561127735591
25,22,TT,0.6092826961236604
25,23,TT,0.6454433939344653
25,24,TT,0.6935613285602172
25,25,TT,0.6104610387936482
25,26,TT,0.6023533607629294
25,27,TT,0.5357163274710168
25,28,TT,0.5452245645588131
25,29,TT,0.6437648673071099
25,30,TT,0.6083516928011518
25,31,TT,0.6354649949351526
25,32,TT,0.5415290904474624
25,33,TT,0.5850381435167545
25,34,TT,0.6101654453905434
25,35,TT,0.6447955587586266
25,36,TT,0.5559451690034614
25,37,TT,0.6152992206125831
25,38,TT,0.6148159291871876
25,39,TT,0.6469273061180266
25,40,TT,0.5437299779187658
25,41,TT,0.6086327933652844
25,42,TT,0.6247143351167921
25,43,TT,0.5742625352607286
25,44,TT,0.5614790500262312
25,45,TT,0.5791160185615649
25,46,TT,0.6574765832276673
25,47,TT,0.7175924932454116
25,48,TT,0.6190463586958387
25,49,TT,0.6111733098324914
25,50,TT,0.6230450028817492
25,51,TT,0.7098887137040192
25,52,TT,0.6284807465789893
25,53,TT,0.6483470644781965
25,54,TT,0.6579595485112925
25,55,TT,0.545336494279445
25,56,TT,0.6167341237425324
25,57,TT,0.5860202144228527
25,58,TT,0.615772170607143
25,59,TT,0.5908316476057985
25,60,TT,0.6454854609703111
25,61,TT,0.6998034526407052
25,62,TT,0.5590830919558951
25,63,TT,0.6173078645614245
25,64,TT,0.49401840242248896
25,65,TT,0.6160904305733258
25,66,TT,0.5558927903410552
25,67,TT,0.6419452024576525
25,68,TT,0.6191083046866485
25,69,TT,0.62576908903907
25,70,TT,0.555948644573557
25,71,TT,0.6531387264665459
25,72,TT,0.6365937582399761
25,73,TT,0.5527176354669913
25,74,TT,0.6032501613665171
25,75,TT,0.6157673077914043
25,76,TT,0.6134346429941925
25,77,TT,0.6460812756716856
25,78,TT,0.6203568387142491
25,79,TT,0.602617374628012
25,80,TT,0.6923690246307761
25,81,TT,0.6303394217787566
25,82,TT,0.6106824082163989
25,83,TT,0.6520110160131536
25,84,TT,0.617503030099311
