N.Treatment,Temperature,term,estimate,std.error,statistic,p.value
22,13,(Intercept),4.693821048747908,0.23290511856526497,20.15336149614333,3.578213057581284e-5
22,13,day,0.6771347951538037,0.04736491299935503,14.296126653141414,1.390729228848093e-4
22,16,(Intercept),4.826475337654982,0.25031633829143296,19.28150343920306,4.264221992318384e-5
22,16,day,0.8423396800160419,0.06371858061882821,13.21968681403959,1.8918136226905968e-4
22,19,(Intercept),4.937512018234658,0.47020398558926824,10.500787253104368,4.6499942554722556e-4
22,19,day,0.9346931575448748,0.11834534184391259,7.898013922488436,0.0013900609270745701
22,22,(Intercept),4.80938362991014,0.5710332041031452,8.422248645704716,0.0010881436510438228
22,22,day,1.1119253131403866,0.1593763683130563,6.976726379887628,0.0022196549986644716
22,25,(Intercept),5.115692928141054,0.402708532921457,12.703214632749793,4.33491688508315e-6
22,25,day,1.0634988662150497,0.12573400435656543,8.458323360155651,6.375879367864239e-5
22,28,(Intercept),5.531347029295307,0.2533963990596602,21.828830440455448,1.0686967362604264e-7
22,28,day,0.6255650806399814,0.07335863230544963,8.527491052931063,6.0496714711519905e-5
33,13,(Intercept),5.296669930999948,0.3808732142561588,13.906648545354617,1.5503752323243967e-4
33,13,day,0.5865167271570937,0.0942942055663471,6.220071781021687,0.0034010221783272628
33,16,(Intercept),4.931862853520902,0.3746941176039187,13.162370642643157,1.924354436419982e-4
33,16,day,0.8266782638198377,0.09525065070188474,8.678977599923945,9.700291429999404e-4
33,19,(Intercept),5.048669098939593,0.29917045569969125,16.875560412982328,7.228024477036242e-5
33,19,day,0.9368721768664042,0.0752736507823277,12.446216798698934,2.396287030968421e-4
33,22,(Intercept),4.720740955285078,0.301325001286067,15.666608927691925,9.694963125265885e-5
33,22,day,1.1499186320476191,0.08406866751821039,13.678325897083257,1.6546301502941825e-4
33,25,(Intercept),5.068598797107593,0.3552979914515227,14.265768225709655,1.976974419742408e-6
33,25,day,1.0615711178766334,0.11086689945976252,9.575185407452606,2.8461690534244908e-5
33,28,(Intercept),5.492223153541691,0.21754917620665348,25.245892672673417,3.905529708934995e-8
33,28,day,0.6610134576863738,0.06294911343660196,10.50075881294343,1.5488766223952852e-5
55,13,(Intercept),5.2331499314434495,0.23077319285929548,22.676593700526336,2.2399095358749187e-5
55,13,day,0.6225991227224174,0.05711156526032924,10.901454370659428,4.02008589866113e-4
55,16,(Intercept),4.252959724593065,0.518753535064013,8.198420708724925,0.0012059720947597537
55,16,day,0.9363170127626398,0.13182453161906615,7.102752433578286,0.002075523446556538
55,19,(Intercept),4.625444451689122,0.2755328291475987,16.787271651071904,7.379486960015696e-5
55,19,day,1.0280384298047596,0.0692996637204308,14.834681362265762,1.2022511887161596e-4
55,22,(Intercept),4.510646911169008,0.1891101010004437,23.851961832321294,1.8322416412427914e-5
55,22,day,1.2299649912478232,0.05273981467766314,23.321374918838114,2.0036874144011332e-5
55,25,(Intercept),4.758223124845382,0.2091318525985549,22.75226401775901,8.025136112268074e-8
55,25,day,1.0836885514214687,0.06522651773062912,16.614232817040136,6.991460117103183e-7
55,28,(Intercept),5.448176737677678,0.24749051927913934,22.013678558461443,1.0081999740124223e-7
55,28,day,0.6589496467935421,0.0715737218565998,9.206586295928112,3.6794521383097016e-5
110,13,(Intercept),5.320488866656679,0.266207082649926,19.986278402867875,3.6983660044387894e-5
110,13,day,0.5615065481226211,0.06585656919284912,8.526204067484144,0.0010382806073549117
110,16,(Intercept),4.590114170239995,0.20664846104425413,22.212186565749523,2.4318702630013067e-5
110,16,day,0.8959181299927115,0.05249344824030833,17.06723715103097,6.912316741435092e-5
110,19,(Intercept),4.686718268719462,0.5255766118560782,8.917288484676433,8.742974293525859e-4
110,19,day,1.0579602546649556,0.13212999763377947,8.006964910400365,0.0013195220370107235
110,22,(Intercept),4.678670550500452,0.28430492992436013,16.456522761477338,3.2083873117350394e-6
110,22,day,1.1279370565769686,0.07185325521526935,15.697786456545586,4.234864935130315e-6
110,25,(Intercept),5.125140975999273,0.25046768968880057,20.462283907226215,3.404003488353446e-8
110,25,day,1.0036452838499037,0.07081413607570337,14.172951044364412,5.976638259313466e-7
110,28,(Intercept),5.2887403736042335,0.19816207760918494,26.688963082203255,2.6560653271408167e-8
