root,temp,model,Species
2.711746845269844,17.6,IDE_birth_ks_var,AC
2.7250385202915974,17.700000000000003,IDE_birth_ks_var,AC
2.7386721664751223,17.8,IDE_birth_ks_var,AC
2.752529143619485,17.9,IDE_birth_ks_var,AC
2.766674060339708,18,IDE_birth_ks_var,AC
2.781110637027963,18.1,IDE_birth_ks_var,AC
2.7958495227524796,18.200000000000003,IDE_birth_ks_var,AC
2.8108927461910675,18.3,IDE_birth_ks_var,AC
2.8262411869145745,18.4,IDE_birth_ks_var,AC
2.8418993175840983,18.5,IDE_birth_ks_var,AC
2.8578717833309697,18.6,IDE_birth_ks_var,AC
2.874163406476953,18.700000000000003,IDE_birth_ks_var,AC
2.8907791915015406,18.8,IDE_birth_ks_var,AC
2.907724330266232,18.9,IDE_birth_ks_var,AC
2.9250042075062486,19,IDE_birth_ks_var,AC
2.942624406601235,19.1,IDE_birth_ks_var,AC
2.9605907156367004,19.2,IDE_birth_ks_var,AC
2.9789091337693523,19.3,IDE_birth_ks_var,AC
2.9975858779099345,19.400000000000002,IDE_birth_ks_var,AC
3.0166273897383657,19.5,IDE_birth_ks_var,AC
3.036040343066874,19.6,IDE_birth_ks_var,AC
3.05583165156801,19.7,IDE_birth_ks_var,AC
3.076008476885653,19.8,IDE_birth_ks_var,AC
3.0965782371481487,19.900000000000002,IDE_birth_ks_var,AC
3.1175486159044627,20,IDE_birth_ks_var,AC
3.138927571505542,20.1,IDE_birth_ks_var,AC
3.3672669283966643,20.2,IDE_birth_ks_var,AC
3.70653017308411,20.3,IDE_birth_ks_var,AC
4.0675611700584176,20.400000000000002,IDE_birth_ks_var,AC
4.451307876485019,20.5,IDE_birth_ks_var,AC
4.858537781570724,20.6,IDE_birth_ks_var,AC
5.288784850387323,20.7,IDE_birth_ks_var,AC
5.741410115438094,20.8,IDE_birth_ks_var,AC
6.2157374484412795,20.900000000000002,IDE_birth_ks_var,AC
6.711017557899068,21,IDE_birth_ks_var,AC
7.226599799908804,21.1,IDE_birth_ks_var,AC
7.761680736431007,21.2,IDE_birth_ks_var,AC
8.315571141701195,21.3,IDE_birth_ks_var,AC
8.887411247478374,21.400000000000002,IDE_birth_ks_var,AC
9.476432115545727,21.5,IDE_birth_ks_var,AC
10.081784871869308,21.6,IDE_birth_ks_var,AC
10.702620053996483,21.7,IDE_birth_ks_var,AC
11.338052414047885,21.8,IDE_birth_ks_var,AC
11.987166703728466,21.900000000000002,IDE_birth_ks_var,AC
12.648968876951296,22,IDE_birth_ks_var,AC
13.322586350043766,22.1,IDE_birth_ks_var,AC
14.006912742007886,22.200000000000003,IDE_birth_ks_var,AC
14.700926640538434,22.3,IDE_birth_ks_var,AC
15.403540419664601,22.400000000000002,IDE_birth_ks_var,AC
16.113626073278926,22.5,IDE_birth_ks_var,AC
16.830027224811793,22.6,IDE_birth_ks_var,AC
17.551488677073863,22.700000000000003,IDE_birth_ks_var,AC
18.276786791535915,22.8,IDE_birth_ks_var,AC
19.004619768936763,22.900000000000002,IDE_birth_ks_var,AC
19.73356375773282,23,IDE_birth_ks_var,AC
20.462256577285824,23.1,IDE_birth_ks_var,AC
21.18920037021873,23.200000000000003,IDE_birth_ks_var,AC
21.912860204348814,23.3,IDE_birth_ks_var,AC
22.631646187897182,23.400000000000002,IDE_birth_ks_var,AC
23.34386589826497,23.5,IDE_birth_ks_var,AC
24.047787453687107,23.6,IDE_birth_ks_var,AC
24.741594309382812,23.700000000000003,IDE_birth_ks_var,AC
25.42332727307965,23.8,IDE_birth_ks_var,AC
26.091086156466798,23.900000000000002,IDE_birth_ks_var,AC
26.742748966582297,24,IDE_birth_ks_var,AC
