N.Treatment,Temperature,day,term,estimate,std.error,statistic,p.value,N.Treatment,Temperature,log.start
55,25,3.02638888875,day,1.0861228260000222,NaN,NaN,NaN,55,25,6.650279048587422
55,25,3.2180555554166665,day,0.7612671338155406,NaN,NaN,NaN,55,25,6.650279048587422
55,25,4.014583333333333,day,0.7548267577929724,NaN,NaN,NaN,55,25,6.650279048587422
55,25,4.259722220833333,day,0.721100219235516,NaN,NaN,NaN,55,25,6.650279048587422
55,28,1.0555555554166667,day,1.129227444521429,NaN,NaN,NaN,55,28,6.816735880594968
55,28,1.23611111125,day,1.21628929899639,NaN,NaN,NaN,55,28,6.816735880594968
55,28,2.015277777916667,day,1.3103399172996817,NaN,NaN,NaN,55,28,6.816735880594968
55,28,2.2888888887500003,day,0.8862856234732395,NaN,NaN,NaN,55,28,6.816735880594968
55,28,3.0430555554166667,day,0.8170323482254309,NaN,NaN,NaN,55,28,6.816735880594968
55,28,3.2298611112500004,day,0.4638268479940316,NaN,NaN,NaN,55,28,6.816735880594968
55,28,4.029166666666667,day,0.415498656169183,NaN,NaN,NaN,55,28,6.816735880594968
55,28,4.2798611125,day,0.6678591234195923,NaN,NaN,NaN,55,28,6.816735880594968
110,13,3.0680555554166666,day,0.7427897366214932,NaN,NaN,NaN,110,13,4.820281565605037
110,13,4.072222222083333,day,0.5389030033208241,NaN,NaN,NaN,110,13,4.820281565605037
110,13,6.245833333333334,day,0.5568128238718923,NaN,NaN,NaN,110,13,4.820281565605037
110,13,6.9875,day,0.5785714865565729,NaN,NaN,NaN,110,13,4.820281565605037
110,16,2.0569444445833334,day,0.7045441554567703,NaN,NaN,NaN,110,16,5.730099782973574
110,16,3.08611111125,day,1.0050701482902844,NaN,NaN,NaN,110,16,5.730099782973574
110,16,4.085416666666666,day,0.5877336297944009,NaN,NaN,NaN,110,16,5.730099782973574
110,16,5.0062500000000005,day,0.6551239605600614,NaN,NaN,NaN,110,16,5.730099782973574
110,16,6.260416666666667,day,0.6780195117116146,NaN,NaN,NaN,110,16,5.730099782973574
110,19,2.0722222220833335,day,1.3570550161213977,NaN,NaN,NaN,110,19,4.532599493153256
110,19,3.0993055554166666,day,0.9754783923044467,NaN,NaN,NaN,110,19,4.532599493153256
110,19,4.09861111125,day,1.1049823120948115,NaN,NaN,NaN,110,19,4.532599493153256
110,19,5.020833333333333,day,1.142733356898945,NaN,NaN,NaN,110,19,4.532599493153256
110,22,1.0215277779166667,day,1.970220038843902,NaN,NaN,NaN,110,22,6.326149473155099
110,22,1.9868055554166668,day,0.5919235580158171,NaN,NaN,NaN,110,22,6.326149473155099
110,22,2.263194444583333,day,0.5658970492481575,NaN,NaN,NaN,110,22,6.326149473155099
110,22,3.0118055554166667,day,0.7576786320581516,NaN,NaN,NaN,110,22,6.326149473155099
110,22,3.204166666666667,day,0.8634172760529052,NaN,NaN,NaN,110,22,6.326149473155099
110,22,3.9895833333333335,day,0.7699422385153716,NaN,NaN,NaN,110,22,6.326149473155099
110,22,4.246527779166667,day,0.8156728384425146,NaN,NaN,NaN,110,22,6.326149473155099
110,25,1.0381944445833333,day,0.9985117224601059,NaN,NaN,NaN,110,25,6.003887067106539
110,25,2.0034722220833334,day,1.1467024063332631,NaN,NaN,NaN,110,25,6.003887067106539
110,25,2.277083333333333,day,1.3597183139010167,NaN,NaN,NaN,110,25,6.003887067106539
110,25,3.0277777779166666,day,0.7948441273304613,NaN,NaN,NaN,110,25,6.003887067106539
110,25,3.2194444445833335,day,0.8698979482165274,NaN,NaN,NaN,110,25,6.003887067106539
110,25,4.015972222083334,day,0.7442269314889659,NaN,NaN,NaN,110,25,6.003887067106539
110,25,4.261805554166666,day,1.0610785801733573,NaN,NaN,NaN,110,25,6.003887067106539
110,28,2.0166666666666666,day,1.2829110585148775,NaN,NaN,NaN,110,28,5.236441962829949
110,28,2.2902777779166668,day,1.3926313999576645,NaN,NaN,NaN,110,28,5.236441962829949
110,28,3.04513888875,day,1.334710471594613,NaN,NaN,NaN,110,28,5.236441962829949
110,28,3.23263888875,day,1.2350057281400701,NaN,NaN,NaN,110,28,5.236441962829949
110,28,4.030555555416666,day,0.9240122078197989,NaN,NaN,NaN,110,28,5.236441962829949
110,28,4.28125,day,1.2064088614447348,NaN,NaN,NaN,110,28,5.236441962829949
110,28,4.977083333333334,day,0.9277074821207986,NaN,NaN,NaN,110,28,5.236441962829949
220,13,4.07361111125,day,0.6086775918068126,NaN,NaN,NaN,220,13,4.820281565605037
220,13,6.247222220833333,day,0.5583543903958371,NaN,NaN,NaN,220,13,4.820281565605037
220,13,6.9888888875,day,0.5672565539919637,NaN,NaN,NaN,220,13,4.820281565605037
220,16,3.0875,day,0.876380730714202,NaN,NaN,NaN,220,16,4.499809670330265
