N,Temp,Species,a,b,z,w,ks,tn,r_pred
11,3.6,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.12094645668147466
22,3.6,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.1282171361024781
33,3.6,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.13117582710999798
55,3.6,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.13378883015316106
110,3.6,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.13591271941830105
220,3.6,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.13703288600921293
440,3.6,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.13760846439901395
330,3.6,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.13741542901146747
0,3.7,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.0755419213566719
11,3.7,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.1224430622270773
22,3.7,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.12980370988229226
33,3.7,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.1327990120770356
55,3.7,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.13544434872427752
110,3.7,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.1375945192426238
220,3.7,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.13872854690543443
440,3.7,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.13931124756928745
330,3.7,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.13911582353936625
0,3.8,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.07647570670253845
11,3.8,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.12395659981200098
22,3.8,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.13140823356861617
33,3.8,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.13444056115595823
55,3.8,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.13711859721766717
110,3.8,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.13929534632555804
220,3.8,AC,0.1022522500589674,0.14335958688597672,-20,107.34028135051453,1.8840805056256047,2.211322339590249,0.140443391879287
