DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc,day,log.Particles.per.ml
1,13,110,12,22,274,24.86666667,1.03611111125,5.616771097666572
1,13,220,12,24,609,24.9,1.0374999999999999,6.413458957167357
1,13,330,12,26,366,24.93333333,1.03888888875,5.905361848054571
1,13,440,12,28,727,24.96666667,1.0402777779166665,6.590301048196686
1,16,0,10,36,841,23.1,0.9625,6.7357800142423265
1,16,11,12,35,394,25.08333333,1.04513888875,5.978885764901122
1,16,22,12,37,427,25.11666667,1.0465277779166666,6.059123195581797
1,16,33,12,39,205,25.15,1.0479166666666666,5.327876168789581
1,16,55,12,41,149,25.18333333,1.0493055554166666,5.0106352940962555
1,16,110,12,44,416,25.23333333,1.05138888875,6.0330862217988015
1,16,220,12,46,428,25.26666667,1.0527777779166667,6.061456918928017
1,16,330,12,52,363,25.36666667,1.0569444445833334,5.8971538676367405
1,16,440,12,54,744,25.4,1.0583333333333333,6.61338421837956
1,19,0,10,38,489,23.13333333,0.96388888875,6.194405391104672
1,19,11,13,3,246,25.55,1.0645833333333334,5.5093883366279774
1,19,22,13,5,173,25.58333333,1.0659722220833332,5.159055299214529
1,19,33,13,8,331,25.63333333,1.0680555554166666,5.805134968916488
1,19,55,13,10,186,25.66666667,1.0694444445833333,5.231108616854587
1,19,110,13,12,183,25.7,1.0708333333333333,5.214935757608986
1,19,220,13,14,447,25.73333333,1.0722222220833333,6.104793232414985
1,19,330,13,16,351,25.76666667,1.07361111125,5.863631175598097
1,19,440,13,18,273,25.8,1.075,5.6131281063880705
1,22,0,10,40,514,23.16666667,0.9652777779166667,6.244166900663736
1,22,11,10,51,799,23.35,0.9729166666666668,6.684611727667927
1,22,22,10,53,628,23.38333333,0.9743055554166666,6.444131256700441
1,22,33,10,55,372,23.41666667,0.9756944445833334,5.921578419643816
1,22,55,10,57,497,23.45,0.9770833333333333,6.210600077024653
1,22,110,10,59,988,23.48333333,0.9784722220833334,6.8966943316227125
1,22,220,11,1,708,23.51666667,0.97986111125,6.5638555265321274
1,22,330,11,4,872,23.56666667,0.9819444445833333,6.771935555839602
1,22,440,11,11,1338,23.68333333,0.9868055554166667,7.199678345691172
1,25,0,15,23,1712,27.88333333,1.1618055554166666,7.44600149832412
1,25,11,15,25,590,27.91666667,1.1631944445833333,6.3818160174060985
1,25,22,15,34,1201,28.06666667,1.1694444445833334,7.091742115095153
1,25,33,15,36,2621,28.1,1.1708333333333334,7.871692664323645
1,25,55,15,38,2903,28.13333333,1.1722222220833334,7.973844375944687
1,25,110,15,40,3225,28.16666667,1.17361111125,8.078998258685154
1,25,220,15,42,2244,28.2,1.175,7.716460800176355
1,25,330,15,45,3238,28.25,1.1770833333333333,8.08301991917133
1,25,440,15,47,2453,28.28333333,1.1784722220833335,7.805474625270857
1,28,0,15,32,1033,28.03333333,1.1680555554166667,6.9411900550683745
1,28,11,15,51,146,28.35,1.1812500000000001,4.990432586778736
1,28,22,15,54,206,28.4,1.1833333333333333,5.332718793265369
1,28,33,15,56,447,28.43333333,1.1847222220833333,6.104793232414985
1,28,55,15,59,691,28.48333333,1.1868055554166668,6.539585955617669
1,28,110,16,1,506,28.51666667,1.1881944445833332,6.2285110035911835
1,28,220,16,3,601,28.55,1.1895833333333334,6.400257445308821
1,28,330,16,5,1117,28.58333333,1.1909722220833332,7.0192966537150445
1,28,440,16,7,1301,28.61666667,1.19236111125,7.171656822768514
2,22,0,10,7,3904,46.61666667,1.94236111125,8.270013062273787
2,22,11,10,15,3687,46.75,1.9479166666666667,8.212839584676484
2,22,22,10,17,3571,46.78333333,1.9493055554166665,8.18088094199639
2,22,33,10,20,3905,46.83333333,1.9513888887500002,8.270269111436624
2,22,55,10,22,2893,46.86666667,1.9527777779166666,7.970394907191429
2,22,110,10,24,4473,46.9,1.9541666666666666,8.406038142050075
2,22,220,10,26,3710,46.93333333,1.9555555554166668,8.219056661060598
2,22,330,10,28,7225,46.96666667,1.9569444445833335,8.885440911707585
2,22,440,10,30,6780,47,1.9583333333333333,8.821879862683842
2,25,0,10,10,8073,46.66666667,1.9444444445833333,8.996404301412886
2,25,11,10,39,7790,47.15,1.9645833333333333,8.960724500330858
2,25,22,10,41,2971,47.18333333,1.9659722220833336,7.99699040583765
2,25,33,10,43,4473,47.21666667,1.96736111125,8.406038142050075
2,25,55,10,47,3333,47.28333333,1.97013888875,8.111928063310739
2,25,110,10,45,3874,47.25,1.96875,8.262300941787448
2,25,220,10,49,4946,47.31666667,1.9715277779166664,8.506536611227709
2,25,330,10,51,5842,47.35,1.9729166666666667,8.672999642554437
2,25,440,10,53,4692,47.38333333,1.9743055554166666,8.453827315794417
2,28,0,11,12,5968,47.7,1.9875,8.69433468816865
2,28,11,11,0,7288,47.5,1.9791666666666667,8.894121641382213
2,28,22,11,3,1829,47.55,1.98125,7.512071245835466
2,28,33,11,5,3190,47.58333333,1.9826388887500002,8.068089626278244
2,28,55,11,7,1667,47.61666667,1.9840277779166666,7.419380582918692
2,28,110,11,9,4535,47.65,1.9854166666666666,8.419800845407588
2,28,220,11,11,5488,47.68333333,1.9868055554166668,8.610501368549889
2,28,330,11,13,1483,47.71666667,1.9881944445833335,7.302496423727326
2,28,440,11,15,1761,47.75,1.9895833333333333,7.474204806496124
2,13,0,11,25,1635,47.91666667,1.9965277779166666,7.400009517162692
2,13,11,11,34,314,48.06666667,2.0027777779166667,5.752572638825633
2,13,22,11,36,346,48.1,2.004166666666667,5.849324779946859
2,13,33,11,38,537,48.13333333,2.0055555554166666,6.2878585601617845
2,13,55,11,40,202,48.16666667,2.006944444583333,5.313205979041787
2,13,110,11,43,409,48.21666667,2.0090277779166668,6.016157159698354
2,13,220,11,46,378,48.26666667,2.01111111125,5.937536205082426
2,13,330,11,48,600,48.3,2.0124999999999997,6.398594934535208
2,13,440,11,50,592,48.33333333,2.01388888875,6.385194398997726
2,16,0,11,27,4308,47.95,1.9979166666666668,8.368461137615839
2,16,11,11,57,3318,48.45,2.0187500000000003,8.107418811719974
2,16,22,11,59,1885,48.48333333,2.02013888875,7.542213463193403
2,16,33,12,1,2565,48.51666667,2.0215277779166665,7.850103545175582
2,16,55,12,3,2177,48.55,2.0229166666666667,7.686162303492906
2,16,110,12,5,2408,48.58333333,2.024305555416667,7.786967002614872
2,16,220,12,7,2736,48.61666667,2.0256944445833334,7.914617709040679
2,16,330,12,9,1673,48.65,2.027083333333333,7.422971251049421
2,16,440,12,11,2846,48.68333333,2.0284722220833333,7.954021087278037
2,19,0,11,29,6218,47.98333333,1.9993055554166668,8.735364401103888
2,19,11,12,19,3034,48.81666667,2.0340277779166667,8.017966703493599
2,19,22,12,21,1651,48.85,2.035416666666667,7.409741954080923
2,19,33,12,23,3910,48.88333333,2.0368055554166666,8.271548374755515
2,19,55,12,25,2250,48.91666667,2.038194444583333,7.719129840906732
2,19,110,12,27,2943,48.95,2.0395833333333333,7.987524479848767
2,19,220,12,29,3912,48.98333333,2.0409722220833335,8.272059622210412
2,19,330,12,36,4578,49.1,2.0458333333333334,8.429235912657095
2,19,440,12,39,3914,49.15,2.0479166666666666,8.272570608424903
2,22,0,17,28,5833,53.96666667,2.2486111112500002,8.671458150427666
2,22,11,17,41,4900,54.18333333,2.2576388887500003,8.497194544909547
2,22,22,17,43,1090,54.21666667,2.2590277779166668,6.994849985833071
2,22,33,17,45,1700,54.25,2.2604166666666665,7.438971592395862
2,22,55,17,49,3077,54.31666667,2.263194444583333,8.032035314398824
2,22,110,17,51,2509,54.35,2.2645833333333334,7.828038032125829
2,22,220,17,53,1706,54.38333333,2.265972222083333,7.442492722794441
2,22,330,17,55,2305,54.41666667,2.26736111125,7.743269700829004
2,22,440,18,0,3585,54.5,2.2708333333333335,8.184792654165078
2,25,0,17,37,11400,54.11666667,2.25486111125,9.34145634983372
2,25,11,18,6,13087,54.6,2.275,9.479451058842528
2,25,22,18,9,4041,54.65,2.277083333333333,8.304494897963567
2,25,33,18,12,5273,54.7,2.279166666666667,8.570544366913232
2,25,55,18,14,2517,54.73333333,2.2805555554166665,7.831220214604293
2,25,110,18,16,1297,54.76666667,2.2819444445833335,7.168579897264035
2,25,220,18,18,3019,54.8,2.283333333333333,8.013012110368916
2,25,330,18,20,4989,54.83333333,2.2847222220833334,8.515191188745565
2,25,440,18,22,4246,54.86666667,2.28611111125,8.353968130313271
2,28,0,17,39,6359,54.15,2.25625,8.757783656334167
2,28,11,18,27,10796,54.95,2.2895833333333333,9.28702359674714
2,28,22,18,29,11617,54.98333333,2.2909722220833335,9.360310898552477
2,28,33,18,31,9629,55.01666667,2.29236111125,9.172638504792172
2,28,55,18,33,2642,55.05,2.2937499999999997,7.879669914604289
2,28,110,18,35,2735,55.08333333,2.29513888875,7.914252278742441
2,28,220,18,38,9319,55.13333333,2.297222222083333,9.139917907679637
