Temperature,Species,umax_lwr_CI,umax_upr_CI,root_lwr_CI,root_upr_CI,ks_lwr_CI,ks_upr_CI,model,resource_affects,ks
11.5,CH,0.4604518288671514,0.6537502682806332,0,0.40024854399102777,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
11.5,CS,0.3521095845690645,0.41616891741559914,0,0.27105474317805806,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
12,CH,0.5264815834661779,0.6915300525054002,0,0.3513323849752995,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
12,CS,0.3708091561061055,0.43676782763012467,0,0.2540282772592647,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
12.5,CH,0.5905767531020867,0.7301898696042377,0,0.313921893400221,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
12.5,CS,0.39018454240568856,0.45802574303679733,0,0.23853386235868454,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
13,CH,0.652737337774878,0.769688002972504,0,0.28442341489529754,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
13,CS,0.4102204407120703,0.4799201361221946,0,0.22449596948437855,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
13.5,CH,0.7129633374845515,0.8099755744778154,0,0.26054634355072664,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
13.5,CS,0.43089456268144294,0.5024210636007287,0,0.21164849036060882,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
14,CH,0.7712547522311077,0.8556760903134502,0,0.24091636424197216,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
14,CS,0.4521766039010639,0.5254901616785562,0,0.19992026514586478,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
14.5,CH,0.8255514976386166,0.9055000033025222,0,0.22449824150221637,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
14.5,CS,0.47402709281777955,0.5490795312697752,0,0.18919905366643833,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
15,CH,0.875535536844326,0.9548367008776466,0,0.21055415298165975,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
15,CS,0.4963961063732435,0.573130502256158,0,0.17939135857596936,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
15.5,CH,0.9246130397547572,1.005775941941552,0,0.19860052956954743,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
15.5,CS,0.519221838384331,0.5975722648620989,0,0.17040809545114227,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
