DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc
3,13,5,10,55,1238,71.41666667
3,13,6,10,59,2100,71.48333333
3,13,7,11,2,2691,71.53333333
3,13,8,11,5,2850,71.58333333
3,16,0,10,37,5456,71.11666667
3,16,1,11,16,4715,71.76666667
3,16,2,11,19,2852,71.81666667
3,16,3,11,21,2580,71.85
3,16,4,11,23,4401,71.88333333
3,16,5,11,25,1772,71.91666667
3,16,6,11,28,4880,71.96666667
3,16,7,11,36,7902,72.1
3,16,8,11,38,3159,72.13333333
3,19,0,10,41,4649,71.18333333
3,19,1,11,44,13664,72.23333333
3,19,2,11,47,21351,72.28333333
3,19,3,11,49,32576,72.31666667
3,19,4,11,52,11294,72.36666667
3,19,5,11,55,17609,72.41666667
3,19,6,11,57,14464,72.45
3,19,7,11,59,21050,72.48333333
3,19,8,12,1,18767,72.51666667
3,22,0,15,4,6609,75.56666667
3,22,1,15,46,16216,76.26666667
3,22,2,15,5,23203,75.58333333
3,22,3,15,52,16569,76.36666667
3,22,4,15,54,6352,76.4
3,22,5,15,57,11446,76.45
3,22,6,15,58,8804,76.46666667
3,22,7,16,0,13112,76.5
3,22,8,16,2,20111,76.53333333
3,25,0,15,2,8595,75.53333333
3,25,1,15,25,23803,75.91666667
3,25,2,15,27,30531,75.95
3,25,3,15,32,34306,76.03333333
3,25,4,15,34,48104,76.06666667
3,25,5,15,36,51223,76.1
3,25,6,15,38,58675,76.13333333
3,25,7,15,40,58738,76.16666667
3,25,8,15,42,67637,76.2
3,28,0,15,0,4209,75.5
3,28,1,15,6,21822,75.6
3,28,2,15,8,35656,75.63333333
3,28,3,15,10,56614,75.66666667
3,28,4,15,12,34652,75.7
3,28,5,15,14,52921,75.73333333
3,28,6,15,16,66247,75.76666667
3,28,7,15,18,43425,75.8
3,28,8,15,21,37010,75.85
4,22,0,11,28,6104,95.96666667
4,22,1,11,30,23145,96
4,22,2,11,31,28929,96.01666667
4,22,3,11,35,41067,96.08333333
4,22,4,11,37,33300,96.11666667
4,22,5,11,40,122480,96.16666667
4,22,6,11,42,85906,96.2
4,22,7,11,44,156655,96.23333333
4,22,8,11,46,144646,96.26666667
4,25,0,11,26,7275,95.93333333
4,25,1,11,53,26492,96.38333333
4,25,2,11,55,38386,96.41666667
4,25,3,11,58,59681,96.46666667
4,25,4,12,0,96785,96.5
4,25,5,12,2,216563,96.53333333
4,25,6,12,3,246143,96.55
4,25,7,12,5,251906,96.58333333
4,25,8,12,8,293103,96.63333333
