DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc
3,28,2,16,28,3270,77.46666667
3,28,3,16,30,1221,77.5
3,28,4,16,31,4083,77.51666667
3,28,5,16,35,10185,77.58333333
3,28,6,16,38,5188,77.63333333
3,28,7,16,40,8081,77.66666667
3,28,8,16,42,4403,77.7
4,13,0,10,19,1090,95.31666667
4,13,1,12,5,3679,97.08333333
4,13,2,12,7,2435,97.11666667
4,13,3,12,9,1445,97.15
4,13,4,12,12,2073,97.2
4,13,5,12,44,1112,97.73333333
4,13,6,12,46,1479,97.76666667
4,13,7,12,48,5291,97.8
4,13,8,12,50,2625,97.83333333
4,16,0,10,21,2694,95.35
4,16,1,12,54,3994,97.9
4,16,2,12,56,3977,97.93333333
4,16,3,12,59,4970,97.98333333
4,16,4,13,1,3181,98.01666667
4,16,5,13,3,3398,98.05
4,16,6,13,5,1235,98.08333333
4,16,7,13,7,19886,98.11666667
4,16,8,13,9,6027,98.15
4,19,0,10,23,1327,95.38333333
4,19,1,13,13,4362,98.21666667
4,19,2,13,15,14012,98.25
4,19,3,13,17,5977,98.28333333
4,19,4,13,20,11534,98.33333333
4,19,5,13,22,8616,98.36666667
4,19,6,13,24,5392,98.4
4,19,7,13,26,34610,98.43333333
4,19,8,13,28,18249,98.46666667
4,22,0,10,25,4709,95.41666667
4,22,1,10,33,7388,95.55
4,22,2,10,35,6316,95.58333333
4,22,3,10,37,15216,95.61666667
4,22,4,10,39,3779,95.65
4,22,5,10,45,12062,95.75
4,22,6,10,47,2540,95.78333333
4,22,7,10,49,17822,95.81666667
4,22,8,10,51,54958,95.85
4,25,0,10,28,2185,95.46666667
4,25,1,11,14,1598,96.23333333
4,25,2,11,16,3438,96.26666667
4,25,3,11,18,6158,96.3
4,25,4,11,21,16003,96.35
4,25,5,11,23,8043,96.38333333
4,25,6,11,26,53630,96.43333333
4,25,7,11,28,11511,96.46666667
4,25,8,11,30,34703,96.5
4,28,0,10,31,2010,95.51666667
4,28,1,11,36,3172,96.6
4,28,2,11,38,2853,96.63333333
4,28,3,11,40,2505,96.66666667
4,28,4,11,42,4869,96.7
4,28,5,11,44,7790,96.73333333
4,28,6,11,46,29061,96.76666667
4,28,7,11,48,53296,96.8
4,28,8,11,50,67878,96.83333333
4,22,0,16,40,6876,101.6666667
4,22,1,16,46,9750,101.7666667
4,22,2,16,49,7761,101.8166667
4,22,3,16,51,20994,101.85
4,22,4,16,53,35336,101.8833333
4,22,5,16,55,17852,101.9166667
4,22,6,16,57,30469,101.95
4,22,7,17,0,100935,102
4,22,8,17,2,86589,102.0333333
4,25,0,16,42,3477,101.7
4,25,1,17,8,7256,102.1333333
4,25,2,17,10,4528,102.1666667
4,25,3,17,12,4946,102.2
4,25,4,17,14,16679,102.2333333
4,25,5,17,17,37271,102.2833333
4,25,6,17,19,17150,102.3166667
4,25,7,17,22,25916,102.3666667
4,25,8,17,24,47870,102.4
4,28,0,16,44,1019,101.7333333
4,28,1,17,36,5157,102.6
4,28,2,17,39,5823,102.65
4,28,3,17,41,4361,102.6833333
4,28,4,17,43,15915,102.7166667
4,28,5,17,45,32904,102.75
4,28,6,17,47,11227,102.7833333
4,28,7,17,49,15084,102.8166667
4,28,8,17,51,5079,102.85
5,13,0,9,22,1689,118.3666667
5,13,1,10,42,3284,119.7
5,13,2,10,44,4776,119.7333333
5,13,3,10,46,5594,119.7666667
5,13,4,10,48,1830,119.8
5,13,5,10,50,978,119.8333333
5,13,6,10,52,1001,119.8666667
5,13,7,10,54,3764,119.9
5,13,8,10,56,2362,119.9333333
5,16,0,9,25,2734,118.4166667
5,16,1,11,1,6339,120.0166667
5,16,2,11,3,8328,120.05
5,16,3,11,5,6544,120.0833333
5,16,4,11,7,11126,120.1166667
5,16,5,11,9,8182,120.15
5,16,6,11,11,3201,120.1833333
5,16,7,11,13,21487,120.2166667
5,16,8,11,15,10219,120.25
5,19,0,9,27,1387,118.45
5,19,1,11,20,7488,120.3333333
5,19,2,11,22,17787,120.3666667
5,19,3,11,24,13627,120.4
5,19,4,11,28,23037,120.4666667
5,19,5,11,30,28855,120.5
5,19,6,11,32,12792,120.5333333
5,19,7,11,34,48618,120.5666667
5,19,8,11,37,63333,120.6166667
5,22,0,9,29,2891,118.4833333
5,22,1,9,35,11509,118.5833333
5,22,2,9,37,8737,118.6166667
5,22,3,9,39,7510,118.65
5,22,4,9,41,13924,118.6833333
5,22,5,9,43,10041,118.7166667
5,22,6,9,46,19329,118.7666667
5,22,7,9,48,56505,118.8
5,22,8,9,50,70524,118.8333333
5,25,0,9,31,2568,118.5166667
5,25,1,9,55,5509,118.9166667
5,25,2,9,57,8468,118.95
5,25,3,9,59,8863,118.9833333
5,25,4,10,2,9289,119.0333333
5,25,5,10,5,21088,119.0833333
5,25,6,10,8,23448,119.1333333
5,25,7,10,10,68525,119.1666667
5,25,8,10,12,115510,119.2
5,28,0,9,33,1443,118.55
5,28,1,10,18,4823,119.3
5,28,2,10,21,15711,119.35
5,28,3,10,23,2240,119.3833333
5,28,4,10,25,13978,119.4166667
5,28,5,10,27,19028,119.45
5,28,6,10,29,28912,119.4833333
5,28,7,10,31,26008,119.5166667
5,28,8,10,38,53906,119.6333333
6,13,0,16,43,1501,149.7166667
6,13,1,16,46,4258,149.7666667
6,13,2,16,48,4658,149.8
6,13,3,16,50,4706,149.8333333
6,13,4,16,52,6971,149.8666667
6,13,5,16,54,4015,149.9
6,13,6,16,56,4057,149.9333333
6,13,7,16,58,7850,149.9666667
6,13,8,17,1,7281,150.0166667
6,16,0,17,5,2667,150.0833333
6,16,1,17,7,2863,150.1166667
6,16,2,17,9,4965,150.15
6,16,3,17,11,9852,150.1833333
6,16,4,17,13,5714,150.2166667
6,16,5,17,15,21477,150.25
6,16,6,17,18,15287,150.3
6,16,7,17,20,25153,150.3333333
6,16,8,17,22,33234,150.3666667
7,13,0,10,30,1462,167.5
7,13,1,10,33,2851,167.55
7,13,2,10,36,16579,167.6
7,13,3,10,38,6616,167.6333333
7,13,4,10,40,10343,167.6666667
7,13,5,10,42,7065,167.7
7,13,6,10,44,6533,167.7333333
7,13,7,10,46,9281,167.7666667
7,13,8,10,51,17002,167.85
7,16,0,10,57,4703,167.95
7,16,1,10,59,7930,167.9833333
7,16,2,11,1,10292,168.0166667
7,16,3,11,4,12378,168.0666667
7,16,4,11,6,10594,168.1
7,16,5,11,8,24145,168.1333333
7,16,6,11,10,13478,168.1666667
7,16,7,11,12,97702,168.2
7,16,8,11,14,52673,168.2333333
