DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc,corrected_hour,corrected.hours.since.innoc
5,22,3,9,43,28417,119.7166667,9,119.7166667
5,22,4,9,45,43438,119.75,9,119.75
5,22,5,9,48,18846,119.8,9,119.8
5,22,6,9,50,24741,119.8333333,9,119.8333333
5,22,7,9,52,21723,119.8666667,9,119.8666667
5,22,8,9,54,19403,119.9,9,119.9
5,25,0,9,32,2710,119.5333333,9,119.5333333
5,25,1,9,59,12158,119.9833333,9,119.9833333
5,25,2,10,4,22793,120.0666667,10,120.0666667
5,25,3,10,6,26640,120.1,10,120.1
5,25,4,10,8,23446,120.1333333,10,120.1333333
5,25,5,10,10,18479,120.1666667,10,120.1666667
5,25,6,10,12,31282,120.2,10,120.2
5,25,7,10,15,32035,120.25,10,120.25
5,25,8,10,17,30599,120.2833333,10,120.2833333
5,28,0,9,34,1998,119.5666667,9,119.5666667
5,28,1,10,22,4126,120.3666667,10,120.3666667
5,28,2,10,24,5236,120.4,10,120.4
5,28,3,10,26,4910,120.4333333,10,120.4333333
5,28,4,10,28,6193,120.4666667,10,120.4666667
5,28,5,10,30,4751,120.5,10,120.5
5,28,6,10,33,5150,120.55,10,120.55
5,28,7,10,35,5941,120.5833333,10,120.5833333
5,28,8,10,37,4566,120.6166667,10,120.6166667
6,22,0,12,41,1551,146.6833333,12,146.6833333
6,22,1,2,14,9624,136.2333333,14,148.2333333
6,22,2,2,16,17106,136.2666667,14,148.2666667
6,22,3,2,19,24615,136.3166667,14,148.3166667
6,22,4,2,22,38835,136.3666667,14,148.3666667
6,22,5,2,24,74490,136.4,14,148.4
6,22,6,2,27,165362,136.45,14,148.45
6,22,7,2,29,115668,136.4833333,14,148.4833333
6,22,8,2,31,131516,136.5166667,14,148.5166667
6,25,0,12,43,2327,146.7166667,12,146.7166667
6,25,1,2,40,8877,136.6666667,14,148.6666667
6,25,2,2,42,15107,136.7,14,148.7
6,25,3,2,45,22050,136.75,14,148.75
