DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc
4,13,5,16,7,417,100.6166667
4,13,6,16,9,302,100.65
4,13,8,16,11,834,100.6833333
4,16,0,13,11,296,97.68333333
4,16,1,16,17,992,100.7833333
4,16,2,16,19,823,100.8166667
4,16,3,16,21,782,100.85
4,16,4,16,23,520,100.8833333
4,16,5,16,25,824,100.9166667
4,16,6,16,27,522,100.95
4,16,8,16,30,1218,101
4,19,0,13,13,623,97.71666667
4,19,1,16,36,5219,101.1
4,19,2,16,39,3044,101.15
4,19,3,16,41,2323,101.1833333
4,19,4,16,43,1810,101.2166667
4,19,5,16,45,1874,101.25
4,19,6,16,47,2139,101.2833333
4,19,8,16,49,4960,101.3166667
4,22,0,13,15,525,97.75
4,22,1,13,22,6997,97.86666667
4,22,2,13,25,7584,97.91666667
4,22,3,13,27,6796,97.95
4,22,4,13,29,8021,97.98333333
4,22,5,13,31,7820,98.01666667
4,22,6,13,33,4671,98.05
4,22,7,13,36,10933,98.1
4,22,8,13,38,8633,98.13333333
4,25,0,13,17,1066,97.78333333
4,25,1,13,47,9049,98.28333333
4,25,2,13,51,13844,98.35
4,25,3,13,56,17034,98.43333333
4,25,4,13,58,11460,98.46666667
4,25,5,14,0,11021,98.5
4,25,6,14,2,15725,98.53333333
4,25,7,14,4,33245,98.56666667
4,25,8,14,6,17664,98.6
4,28,0,13,20,849,97.83333333
4,28,1,14,11,11488,98.68333333
4,28,2,14,13,11660,98.71666667
4,28,3,14,15,20931,98.75
4,28,4,14,18,14821,98.8
4,28,5,14,20,16594,98.83333333
4,28,6,14,22,18748,98.86666667
4,28,7,14,23,19470,98.88333333
4,28,8,14,26,15678,98.93333333
5,13,0,17,41,2747,126.1833333
5,13,1,17,47,1014,126.2833333
5,13,2,17,49,1582,126.3166667
5,13,3,17,51,679,126.35
5,13,4,17,53,707,126.3833333
5,13,5,17,55,946,126.4166667
5,13,6,17,58,589,126.4666667
5,13,8,18,0,1316,126.5
5,16,0,17,43,1427,126.2166667
5,16,1,18,4,3733,126.5666667
5,16,2,18,6,1536,126.6
5,16,3,18,8,1241,126.6333333
5,16,4,18,10,1393,126.6666667
5,16,5,18,13,1841,126.7166667
5,16,6,18,15,1675,126.75
5,16,8,18,17,2359,126.7833333
5,19,0,17,45,1376,126.25
5,19,1,18,23,12291,126.8833333
5,19,2,18,25,14391,126.9166667
5,19,3,18,27,12219,126.95
5,19,4,18,29,4602,126.9833333
5,19,5,18,31,4742,127.0166667
5,19,6,18,33,6487,127.05
5,19,8,18,35,9219,127.0833333
5,22,0,16,19,689,124.8166667
5,22,1,16,26,6967,124.9333333
5,22,2,16,28,20809,124.9666667
5,22,3,16,30,32344,125
5,22,4,16,32,22189,125.0333333
5,22,5,16,34,15487,125.0666667
5,22,6,16,36,10485,125.1
5,22,7,16,38,26323,125.1333333
5,22,8,16,40,24563,125.1666667
5,25,0,16,22,1156,124.8666667
5,25,1,16,48,9997,125.3
5,25,2,16,50,20711,125.3333333
5,25,3,16,52,24874,125.3666667
5,25,4,16,54,50767,125.4
5,25,5,16,56,48494,125.4333333
5,25,6,16,59,58151,125.4833333
5,25,7,17,4,118339,125.5666667
5,25,8,17,6,76240,125.6
5,28,0,16,24,1271,124.9
5,28,1,17,112,16614,127.3666667
5,28,2,17,16,28934,125.7666667
5,28,3,17,18,34053,125.8
5,28,4,17,22,35731,125.8666667
5,28,5,17,24,76876,125.9
5,28,6,17,28,74317,125.9666667
5,28,7,17,31,105497,126.0166667
5,28,8,17,34,50143,126.0666667
6,13,0,19,55,1908,152.4166667
6,13,1,20,35,1806,153.0833333
6,13,2,20,37,1106,153.1166667
6,13,3,20,40,801,153.1666667
6,13,4,20,42,1352,153.2
6,13,5,20,44,2141,153.2333333
6,13,6,20,46,1432,153.2666667
6,13,8,20,48,2678,153.3
6,16,0,19,57,899,152.45
6,16,1,20,52,11213,153.3666667
6,16,2,20,54,6021,153.4
6,16,3,20,57,1966,153.45
6,16,4,20,59,2489,153.4833333
6,16,5,21,1,2453,153.5166667
6,16,6,21,3,2133,153.55
6,16,8,21,5,4301,153.5833333
6,19,0,19,59,1584,152.4833333
6,19,1,21,9,11917,153.65
6,19,2,21,12,20042,153.7
6,19,3,21,17,20379,153.7833333
6,19,4,21,19,16561,153.8166667
6,19,5,21,23,9562,153.8833333
6,19,6,21,25,10608,153.9166667
6,19,8,21,28,25149,153.9666667
6,22,0,20,1,1172,152.5166667
6,22,1,20,8,8281,152.6333333
6,22,2,20,24,25973,152.9
6,22,3,20,10,23844,152.6666667
6,22,4,20,12,31362,152.7
6,22,5,20,14,41651,152.7333333
6,22,6,20,18,22300,152.8
6,22,7,20,27,90094,152.95
6,22,8,20,30,39907,153
6,25,0,20,3,1681,152.55
6,25,1,21,33,14034,154.05
6,25,2,21,36,19251,154.1
6,25,3,21,38,47206,154.1333333
6,25,4,21,41,38187,154.1833333
6,25,5,21,43,109019,154.2166667
6,25,6,21,45,78826,154.25
6,25,7,21,47,105782,154.2833333
6,25,8,21,49,102704,154.3166667
6,28,0,20,6,2067,152.6
6,28,1,21,54,15456,154.4
6,28,2,21,56,27343,154.4333333
6,28,3,21,58,45224,154.4666667
6,28,4,22,0,56721,154.5
6,28,5,22,3,81826,154.55
6,28,6,22,8,119021,154.6333333
6,28,7,22,15,134990,154.75
6,28,8,22,20,86197,154.8333333
7,13,0,11,49,2121,168.3166667
7,13,1,11,51,4628,168.35
7,13,2,11,53,1856,168.3833333
7,13,3,11,58,1193,168.4666667
7,13,4,12,56,7845,169.4333333
7,13,5,12,1,1673,168.5166667
7,13,6,12,6,1905,168.6
7,13,8,12,12,3728,168.7
7,16,0,12,15,2366,168.75
7,16,1,12,17,10968,168.7833333
7,16,2,12,20,11809,168.8333333
7,16,3,12,22,5672,168.8666667
7,16,4,12,24,5898,168.9
7,16,5,12,25,6674,168.9166667
7,16,6,12,27,4587,168.95
7,16,8,12,29,10585,168.9833333
