sample,date sampled,date measured,absorbance 1,absorbance 2,species,temp,rep,notes
1-17-3,2017-05-02,2017-06-30,0.03,0.032,1,17,3,
2-17-3,2017-05-02,2017-06-30,0.031,0.033,2,17,3,
3-17-3,2017-05-05,2017-06-30,0.026,0.027,3,17,3,
4-17-3,2017-05-05,2017-06-30,0.027,0.03,4,17,3,
1-24-3,2017-05-02,2017-06-30,0.034,0.031,1,24,3,
2-24-3,2017-05-02,2017-06-30,0.032,0.026,2,24,3,0.5ml
3-24-3,2017-05-05,2017-06-30,0.041,0.038,3,24,3,
4-24-3,2017-05-05,2017-06-30,0.028,0.029,4,24,3,
1-31-3,2017-05-02,2017-06-30,0.106,0.107,1,31,3,
2-31-3,2017-05-02,2017-06-30,0.046,0.047,2,31,3,
3-31-3,2017-05-05,2017-06-30,0.046,0.044,3,31,3,
4-31-3,2017-05-05,2017-06-30,0.043,0.048,4,31,3,0.5ml
1-38-3,2017-05-02,2017-06-30,0.048,0.047,1,38,3,
2-38-3,2017-05-02,2017-06-30,0.046,0.038,2,38,3,
3-38-3,2017-05-05,2017-06-30,0.033,0.034,3,38,3,
4-38-3,2017-05-05,2017-06-30,0.054,0.055,4,38,3,
1-03-4,2017-05-02,2017-06-30,0.046,0.042,1,03,4,
2-03-4,2017-05-02,2017-06-30,0.054,0.056,2,03,4,
3-03-4,2017-05-05,2017-06-30,0.051,0.05,3,03,4,
4-03-4,2017-05-05,2017-06-30,0.045,0.036,4,03,4,
1-10-4,2017-05-02,2017-06-30,0.027,0.026,1,10,4,
2-10-4,2017-05-02,2017-06-30,0.033,0.037,2,10,4,
3-10-4,2017-05-05,2017-06-30,0.037,0.036,3,10,4,
4-10-4,2017-05-05,2017-06-30,0.022,0.017,4,10,4,
1-17-4,2017-05-02,2017-06-30,0.028,0.029,1,17,4,
2-17-4,2017-05-02,2017-06-30,0.025,0.022,2,17,4,
3-17-4,2017-05-05,2017-06-30,0.037,0.037,3,17,4,
4-17-4,2017-05-05,2017-06-30,0.027,0.025,4,17,4,
1-24-4,2017-05-02,2017-06-30,0.031,0.027,1,24,4,
2-24-4,2017-05-02,2017-06-30,0.029,0.026,2,24,4,
3-24-4,2017-05-05,2017-06-30,0.024,0.024,3,24,4,
4-24-4,2017-05-05,2017-06-30,0.028,0.028,4,24,4,
1-31-4,2017-05-02,2017-06-30,0.083,0.088,1,31,4,
2-31-4,2017-05-02,2017-06-30,0.04,0.029,2,31,4,
3-31-4,2017-05-05,2017-06-30,0.037,0.033,3,31,4,
4-31-4,2017-05-05,2017-06-30,0.032,0.032,4,31,4,
1-38-4,2017-05-02,2017-06-30,0.043,0.042,1,38,4,
2-38-4,2017-05-02,2017-06-30,0.064,0.062,2,38,4,
3-38-4,2017-05-05,2017-06-30,0.042,0.042,3,38,4,
4-38-4,2017-05-05,2017-06-30,0.071,0.07,4,38,4,
1-03-5,2017-05-02,2017-06-30,0.025,0.024,1,03,5,
2-03-5,2017-05-02,2017-06-30,0.057,0.057,2,03,5,
3-03-5,2017-05-05,2017-06-30,0.05,0.054,3,03,5,
4-03-5,2017-05-05,2017-06-30,0.041,0.037,4,03,5,
1-10-5,2017-05-02,2017-06-30,0.034,0.034,1,10,5,
2-10-5,2017-05-02,2017-06-30,0.027,0.034,2,10,5,
3-10-5,2017-05-05,2017-06-30,0.031,0.048,3,10,5,
4-10-5,2017-05-05,2017-06-30,0.042,0.038,4,10,5,
1-17-5,2017-05-02,2017-06-30,0.033,0.031,1,17,5,
2-17-5,2017-05-02,2017-06-30,0.048,0.046,2,17,5,
3-17-5,2017-05-05,2017-06-30,0.029,0.026,3,17,5,
4-17-5,2017-05-05,2017-06-30,0.034,0.028,4,17,5,
1-24-5,2017-05-02,2017-06-30,0.029,0.028,1,24,5,
2-24-5,2017-05-02,2017-06-30,0.079,0.083,2,24,5,
3-24-5,2017-05-05,2017-06-30,0.055,0.053,3,24,5,
4-24-5,2017-05-05,2017-06-30,0.029,0.031,4,24,5,
1-31-5,2017-05-02,2017-06-30,0.045,0.044,1,31,5,
2-31-5,2017-05-02,2017-06-30,0.038,0.038,2,31,5,
3-31-5,2017-05-05,2017-06-30,0.049,0.043,3,31,5,
4-31-5,2017-05-05,2017-06-30,0.023,0.024,4,31,5,
1-38-5,2017-05-02,2017-06-30,0.032,0.029,1,38,5,
2-38-5,2017-05-02,2017-06-30,0.031,0.034,2,38,5,
3-38-5,2017-05-05,2017-06-30,0.043,0.05,3,38,5,
4-38-5,2017-05-05,2017-06-30,0.04,0.038,4,38,5,
