sample,date sampled,date measured,absorbance 1,absorbance 2,species,temp,rep,notes
1-38-4,2017-04-25,2017-06-29,0.034,0.035,1,38,4,
2-38-4,2017-04-25,2017-06-29,0.028,0.027,2,38,4,
3-38-4,2017-04-28,2017-06-29,0.034,0.031,3,38,4,
4-38-4,2017-04-28,2017-06-29,0.054,0.051,4,38,4,
1-03-5,2017-04-25,2017-06-29,0.023,0.023,1,03,5,
2-03-5,2017-04-25,2017-06-29,0.036,0.033,2,03,5,
3-03-5,2017-04-28,2017-06-29,0.032,0.031,3,03,5,
4-03-5,2017-04-28,2017-06-29,0.056,0.054,4,03,5,
1-10-5,2017-04-25,2017-06-29,0.01,0.01,1,10,5,
2-10-5,2017-04-25,2017-06-29,0.007,0.008,2,10,5,
3-10-5,2017-04-28,2017-06-29,0.014,0.011,3,10,5,
4-10-5,2017-04-28,2017-06-29,0.006,0,4,10,5,
1-17-5,2017-04-25,2017-06-29,0.002,0.007,1,17,5,
2-17-5,2017-04-25,2017-06-29,0.009,0.007,2,17,5,
3-17-5,2017-04-28,2017-06-29,0.007,0.007,3,17,5,
4-17-5,2017-04-28,2017-06-29,0.01,0.01,4,17,5,
1-24-5,2017-04-25,2017-06-29,0.01,0.012,1,24,5,
2-24-5,2017-04-25,2017-06-29,0.008,0.009,2,24,5,
3-24-5,2017-04-28,2017-06-29,0.043,0.042,3,24,5,
4-24-5,2017-04-28,2017-06-29,0.012,0.01,4,24,5,
1-31-5,2017-04-25,2017-06-29,0.018,0.018,1,31,5,
2-31-5,2017-04-25,2017-06-29,0.026,0.024,2,31,5,
3-31-5,2017-04-28,2017-06-29,0.031,0.028,3,31,5,
4-31-5,2017-04-28,2017-06-29,0.084,0.084,4,31,5,
1-38-5,2017-04-25,2017-06-29,0.022,0.02,1,38,5,
2-38-5,2017-04-25,2017-06-29,0.024,0.024,2,38,5,
3-38-5,2017-04-28,2017-06-29,0.026,0.025,3,38,5,
4-38-5,2017-04-28,2017-06-29,0.011,0.008,4,38,5,
